"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.48    ,  0.20  
MgO     ,  5.15    ,  0.17  
Al2O3   ,  8.92    ,  0.19  
SiO2    , 44.95    ,  0.54  
P2O5    ,  0.98    ,  0.07  
SO3     , 10.72    ,  0.22  
Cl      ,  1.40    ,  0.06  
K2O     ,  0.94    ,  0.04  
CaO     ,  6.50    ,  0.10  
TiO2    ,  0.92    ,  0.05  
Cr2O3   ,  0.25    ,  0.03  
MnO     ,  0.15    ,  0.03  
FeO     , 16.24    ,  0.20  
Ni      ,  0.0752  ,  0.0050
Zn      ,  0.0756  ,  0.0035
Br      ,  0.0115  ,  0.0010
