"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.33    ,  0.14  
MgO     ,  6.78    ,  0.17  
Al2O3   ,  8.53    ,  0.19  
SiO2    , 45.00    ,  0.54  
P2O5    ,  1.05    ,  0.07  
SO3     ,  9.20    ,  0.10  
Cl      ,  0.96    ,  0.02  
K2O     ,  0.68    ,  0.02  
CaO     ,  5.55    ,  0.06  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.41    ,  0.01  
FeO     , 17.76    ,  0.20  
Ni      ,  0.0900  ,  0.0045
Zn      ,  0.2281  ,  0.0070
Br      ,  0.0181  ,  0.0010
