"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.66    ,  0.14  
MgO     ,  7.53    ,  0.17  
Al2O3   ,  5.20    ,  0.19  
SiO2    , 24.55    ,  0.32  
P2O5    ,  0.69    ,  0.05  
SO3     ,  8.55    ,  0.15  
Cl      ,  1.81    ,  0.05  
K2O     ,  0.21    ,  0.02  
CaO     ,  3.59    ,  0.06  
TiO2    ,  0.43    ,  0.03  
Cr2O3   ,  0.08    ,  0.03  
MnO     ,  5.11    ,  0.11  
FeO     , 40.12    ,  0.46  
Ni      ,  0.0560  ,  0.0050
Zn      ,  0.2630  ,  0.0080
Br      ,  0.0519  ,  0.0020
