"Target: Potatoe_raster2, Contains DAT files: APB_469447387ESC08110441432_______M1.DAT"
 7151.7  ,    2503
 7176.2  ,    1401
 7200.6  ,     754
 7225.0  ,     439
 7249.4  ,     303
 7273.9  ,     332
 7298.3  ,     498
 7322.7  ,     723
 7347.1  ,    1097
 7371.5  ,    1669
 7396.0  ,    2406
 7420.4  ,    3130
 7444.8  ,    3477
 7469.2  ,    3423
 7493.7  ,    2971
 7518.1  ,    2343
 7542.5  ,    1592
 7566.9  ,     958
 7591.3  ,     565
 7615.8  ,     412
 7640.2  ,     279
 7664.6  ,     212
 7689.0  ,     184
 7713.5  ,     216
 7737.9  ,     173
 7762.3  ,     165
 7786.7  ,     181
 7811.1  ,     200
 7835.6  ,     170
 7860.0  ,     184
 7884.4  ,     224
 7908.8  ,     233
 7933.3  ,     221
 7957.7  ,     242
 7982.1  ,     326
 8006.5  ,     300
 8030.9  ,     298
 8055.4  ,     311
 8079.8  ,     307
 8104.2  ,     354
 8128.6  ,     364
 8153.1  ,     403
 8177.5  ,     547
 8201.9  ,     625
 8226.3  ,     682
 8250.7  ,     716
 8275.2  ,     681
 8299.6  ,     599
 8324.0  ,     459
 8348.4  ,     387
 8372.9  ,     279
 8397.3  ,     328
 8421.7  ,     336
 8446.1  ,     424
 8470.6  ,     534
 8495.0  ,     906
 8519.4  ,    1387
 8543.8  ,    2057
 8568.2  ,    2605
 8592.7  ,    2887
 8617.1  ,    3114
 8641.5  ,    2880
 8665.9  ,    2340
 8690.4  ,    1792
 8714.8  ,    1235
 8739.2  ,     783
 8763.6  ,     449
 8788.0  ,     278
 8812.5  ,     196
 8836.9  ,     159
 8861.3  ,     159
 8885.7  ,     153
 8910.2  ,     180
 8934.6  ,     167
 8959.0  ,     165
 8983.4  ,     191
 9007.8  ,     152
 9032.3  ,     158
 9056.7  ,     156
 9081.1  ,     168
 9105.5  ,     167
 9130.0  ,     199
 9154.4  ,     180
 9178.8  ,     206
 9203.2  ,     224
 9227.6  ,     202
 9252.1  ,     224
 9276.5  ,     192
 9300.9  ,     193
 9325.3  ,     203
 9349.8  ,     195
 9374.2  ,     211
 9398.6  ,     191
 9423.0  ,     240
 9447.5  ,     317
 9471.9  ,     428
 9496.3  ,     533
 9520.7  ,     553
 9545.1  ,     605
 9569.6  ,     609
 9594.0  ,     573
 9618.4  ,     466
 9642.8  ,     367
 9667.3  ,     310
 9691.7  ,     239
 9716.1  ,     234
 9740.5  ,     238
 9764.9  ,     278
 9789.4  ,     267
 9813.8  ,     314
 9838.2  ,     392
 9862.6  ,     420
 9887.1  ,     370
 9911.5  ,     345
 9935.9  ,     304
 9960.3  ,     259
 9984.7  ,     210
10009.2  ,     183
10033.6  ,     165
10058.0  ,     145
10082.4  ,     156
10106.9  ,     145
10131.3  ,     161
10155.7  ,     130
10180.1  ,     174
10204.5  ,     176
10229.0  ,     178
10253.4  ,     155
10277.8  ,     161
10302.2  ,     186
10326.7  ,     169
10351.1  ,     178
10375.5  ,     205
10399.9  ,     226
10424.4  ,     241
10448.8  ,     288
10473.2  ,     410
10497.6  ,     392
10522.0  ,     449
10546.5  ,     421
10570.9  ,     405
10595.3  ,     391
10619.7  ,     307
10644.2  ,     261
10668.6  ,     235
10693.0  ,     178
10717.4  ,     180
10741.8  ,     150
10766.3  ,     147
10790.7  ,     156
10815.1  ,     152
10839.5  ,     169
10864.0  ,     167
10888.4  ,     197
10912.8  ,     215
10937.2  ,     166
10961.6  ,     196
10986.1  ,     202
11010.5  ,     218
11034.9  ,     208
11059.3  ,     241
11083.8  ,     245
11108.2  ,     243
11132.6  ,     300
11157.0  ,     311
11181.4  ,     345
11205.9  ,     368
11230.3  ,     372
11254.7  ,     327
11279.1  ,     288
11303.6  ,     274
11328.0  ,     256
11352.4  ,     250
11376.8  ,     233
11401.3  ,     259
11425.7  ,     271
11450.1  ,     290
11474.5  ,     295
11498.9  ,     321
11523.4  ,     310
11547.8  ,     302
11572.2  ,     343
11596.6  ,     332
11621.1  ,     361
11645.5  ,     344
11669.9  ,     312
11694.3  ,     370
11718.7  ,     367
11743.2  ,     425
11767.6  ,     438
11792.0  ,     612
11816.4  ,     672
11840.9  ,     746
11865.3  ,     799
11889.7  ,     823
11914.1  ,     827
11938.5  ,     830
11963.0  ,     715
11987.4  ,     644
12011.8  ,     557
12036.2  ,     575
12060.7  ,     544
12085.1  ,     499
12109.5  ,     529
12133.9  ,     526
12158.3  ,     508
12182.8  ,     468
12207.2  ,     369
12231.6  ,     341
12256.0  ,     323
12280.5  ,     323
12304.9  ,     263
12329.3  ,     262
12353.7  ,     261
12378.1  ,     275
12402.6  ,     278
12427.0  ,     314
12451.4  ,     313
12475.8  ,     368
12500.3  ,     415
12524.7  ,     481
12549.1  ,     497
12573.5  ,     512
12598.0  ,     534
12622.4  ,     498
12646.8  ,     540
12671.2  ,     510
12695.6  ,     460
12720.1  ,     455
12744.5  ,     416
12768.9  ,     416
12793.3  ,     430
12817.8  ,     454
12842.2  ,     484
12866.6  ,     507
