"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.66    ,  0.14  
MgO     ,  8.39    ,  0.25  
Al2O3   ,  9.61    ,  0.29  
SiO2    , 43.34    ,  0.54  
P2O5    ,  1.20    ,  0.07  
SO3     , 13.51    ,  0.15  
Cl      ,  1.10    ,  0.02  
K2O     ,  0.55    ,  0.02  
CaO     ,  5.59    ,  0.06  
TiO2    ,  1.09    ,  0.03  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.33    ,  0.01  
FeO     , 11.67    ,  0.13  
Ni      ,  0.3370  ,  0.0170
Zn      ,  0.1653  ,  0.0050
Br      ,  0.0150  ,  0.0005
