"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.97    ,  0.07  
MgO     ,  0.46    ,  0.83  
Al2O3   ,  5.36    ,  0.19  
SiO2    , 71.47    ,  0.75  
P2O5    ,  1.37    ,  0.07  
SO3     ,  7.68    ,  0.10  
Cl      ,  0.29    ,  0.02  
K2O     ,  0.80    ,  0.02  
CaO     ,  4.81    ,  0.06  
TiO2    ,  1.70    ,  0.07  
Cr2O3   ,  0.06    ,  0.01  
MnO     ,  0.05    ,  0.04  
FeO     ,  3.77    ,  0.07  
Ni      ,  0.0087  ,  0.0010
Zn      ,  0.0212  ,  0.0010
Br      ,  0.0038  ,  0.0005
