"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.49    ,  0.20  
MgO     ,  5.05    ,  0.33  
Al2O3   ,  9.65    ,  0.58  
SiO2    , 49.50    ,  1.07  
P2O5    ,  0.57    ,  0.07  
SO3     ,  3.77    ,  0.20  
Cl      ,  0.87    ,  0.05  
K2O     ,  1.03    ,  0.06  
CaO     ,  2.67    ,  0.14  
TiO2    ,  1.13    ,  0.07  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.18    ,  0.03  
FeO     , 22.38    ,  0.46  
Ni      ,  0.0963  ,  0.0070
Zn      ,  0.0992  ,  0.0050
Br      ,  0.0076  ,  0.0015
