"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.15    ,  0.27  
MgO     ,  7.88    ,  0.25  
Al2O3   ,  8.03    ,  0.29  
SiO2    , 42.27    ,  0.64  
P2O5    ,  1.08    ,  0.09  
SO3     , 11.03    ,  0.28  
Cl      ,  0.99    ,  0.06  
K2O     ,  0.68    ,  0.04  
CaO     ,  5.13    ,  0.10  
TiO2    ,  1.02    ,  0.09  
Cr2O3   ,  0.30    ,  0.05  
MnO     ,  0.68    ,  0.04  
FeO     , 18.31    ,  0.20  
Ni      ,  0.0805  ,  0.0070
Zn      ,  0.1596  ,  0.0060
Br      ,  0.0248  ,  0.0020
