"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.34    ,  0.14  
MgO     ,  6.98    ,  0.17  
Al2O3   ,  8.57    ,  0.19  
SiO2    , 43.65    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  8.19    ,  0.10  
Cl      ,  1.41    ,  0.03  
K2O     ,  0.71    ,  0.02  
CaO     ,  5.96    ,  0.07  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 19.17    ,  0.20  
Ni      ,  0.0712  ,  0.0040
Zn      ,  0.3720  ,  0.0115
Br      ,  0.0492  ,  0.0015
