"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.86    ,  0.14  
MgO     ,  8.31    ,  0.25  
Al2O3   ,  9.23    ,  0.19  
SiO2    , 43.15    ,  0.54  
P2O5    ,  1.01    ,  0.07  
SO3     ,  6.94    ,  0.15  
Cl      ,  0.94    ,  0.04  
K2O     ,  0.63    ,  0.02  
CaO     ,  6.91    ,  0.08  
TiO2    ,  1.01    ,  0.21  
Cr2O3   ,  0.41    ,  0.03  
MnO     ,  0.39    ,  0.03  
FeO     , 18.07    ,  0.20  
Ni      ,  0.0499  ,  0.0035
Zn      ,  0.0376  ,  0.0020
Br      ,  0.0050  ,  0.0010
