"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     ,  6.35    ,  0.17  
Al2O3   ,  8.32    ,  0.19  
SiO2    , 44.01    ,  0.54  
P2O5    ,  1.11    ,  0.07  
SO3     ,  9.33    ,  0.12  
Cl      ,  1.15    ,  0.02  
K2O     ,  0.72    ,  0.02  
CaO     ,  6.25    ,  0.07  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 18.31    ,  0.20  
Ni      ,  0.1003  ,  0.0055
Zn      ,  0.0840  ,  0.0030
Br      ,  0.0281  ,  0.0010
