"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     , 10.36    ,  0.25  
Al2O3   ,  8.74    ,  0.19  
SiO2    , 42.19    ,  0.43  
P2O5    ,  0.75    ,  0.05  
SO3     ,  3.12    ,  0.05  
Cl      ,  0.48    ,  0.02  
K2O     ,  0.38    ,  0.01  
CaO     ,  7.15    ,  0.08  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.72    ,  0.01  
MnO     ,  0.47    ,  0.01  
FeO     , 21.94    ,  0.26  
Ni      ,  0.0562  ,  0.0030
Zn      ,  0.0228  ,  0.0010
Br      ,  0.0032  ,  0.0005
