"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.20  
MgO     ,  6.42    ,  0.25  
Al2O3   ,  8.44    ,  0.29  
SiO2    , 46.74    ,  0.64  
P2O5    ,  1.02    ,  0.07  
SO3     ,  5.08    ,  0.17  
Cl      ,  0.97    ,  0.05  
K2O     ,  0.88    ,  0.04  
CaO     ,  3.68    ,  0.08  
TiO2    ,  1.01    ,  0.07  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.20    ,  0.03  
FeO     , 22.28    ,  0.26  
Ni      ,  0.0773  ,  0.0060
Zn      ,  0.1291  ,  0.0050
Br      ,  0.0798  ,  0.0030
