"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.57    ,  0.14  
MgO     ,  8.57    ,  0.25  
Al2O3   ,  5.09    ,  0.19  
SiO2    , 26.38    ,  0.32  
P2O5    ,  0.62    ,  0.05  
SO3     ,  4.89    ,  0.10  
Cl      ,  1.97    ,  0.04  
K2O     ,  0.24    ,  0.01  
CaO     ,  3.60    ,  0.04  
TiO2    ,  0.58    ,  0.03  
Cr2O3   ,  0.14    ,  0.03  
MnO     ,  6.33    ,  0.13  
FeO     , 39.65    ,  0.46  
Ni      ,  0.0893  ,  0.0045
Zn      ,  0.1593  ,  0.0050
Br      ,  0.0750  ,  0.0025
