"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.14  
MgO     ,  8.54    ,  0.25  
Al2O3   ,  9.57    ,  0.29  
SiO2    , 43.66    ,  0.54  
P2O5    ,  0.89    ,  0.05  
SO3     ,  6.00    ,  0.08  
Cl      ,  1.36    ,  0.02  
K2O     ,  0.42    ,  0.02  
CaO     ,  6.53    ,  0.07  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.26    ,  0.01  
FeO     , 18.51    ,  0.20  
Ni      ,  0.0427  ,  0.0025
Zn      ,  0.0310  ,  0.0010
Br      ,  0.0309  ,  0.0010
