"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  5.32    ,  0.17  
Al2O3   ,  9.47    ,  0.29  
SiO2    , 51.66    ,  0.54  
P2O5    ,  0.87    ,  0.05  
SO3     ,  3.73    ,  0.08  
Cl      ,  1.22    ,  0.02  
K2O     ,  1.12    ,  0.04  
CaO     ,  2.78    ,  0.03  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 19.17    ,  0.20  
Ni      ,  0.1073  ,  0.0055
Zn      ,  0.1735  ,  0.0055
Br      ,  0.0517  ,  0.0020
