"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.27  
MgO     ,  5.62    ,  0.25  
Al2O3   ,  9.53    ,  0.29  
SiO2    , 48.29    ,  0.86  
P2O5    ,  1.19    ,  0.09  
SO3     ,  6.22    ,  0.28  
Cl      ,  0.96    ,  0.07  
K2O     ,  0.89    ,  0.05  
CaO     ,  4.48    ,  0.13  
TiO2    ,  1.07    ,  0.09  
Cr2O3   ,  0.28    ,  0.05  
MnO     ,  0.16    ,  0.04  
FeO     , 18.38    ,  0.26  
Ni      ,  0.0737  ,  0.0085
Zn      ,  0.1351  ,  0.0075
Br      ,  0.0145  ,  0.0020
