"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.08    ,  0.14  
MgO     ,  5.10    ,  0.17  
Al2O3   ,  5.91    ,  0.19  
SiO2    , 28.28    ,  0.32  
P2O5    ,  0.83    ,  0.09  
SO3     , 27.15    ,  0.38  
Cl      ,  0.88    ,  0.05  
K2O     ,  0.43    ,  0.04  
CaO     , 18.39    ,  0.20  
TiO2    ,  0.62    ,  0.05  
Cr2O3   ,  0.22    ,  0.03  
MnO     ,  0.07    ,  0.03  
FeO     ,  9.66    ,  0.13  
Ni      ,  0.0440  ,  0.0050
Zn      ,  0.0504  ,  0.0035
Br      ,  0.0207  ,  0.0015
