"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.69    ,  0.14  
MgO     ,  5.78    ,  0.17  
Al2O3   , 10.38    ,  0.29  
SiO2    , 50.71    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  4.09    ,  0.05  
Cl      ,  0.88    ,  0.02  
K2O     ,  1.12    ,  0.04  
CaO     ,  4.85    ,  0.06  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 16.56    ,  0.20  
Ni      ,  0.0884  ,  0.0045
Zn      ,  0.1854  ,  0.0060
Br      ,  0.0445  ,  0.0015
