"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.48    ,  0.14  
MgO     ,  5.65    ,  0.17  
Al2O3   ,  8.58    ,  0.19  
SiO2    , 43.21    ,  0.54  
P2O5    ,  0.90    ,  0.05  
SO3     , 12.40    ,  0.17  
Cl      ,  1.01    ,  0.03  
K2O     ,  0.76    ,  0.02  
CaO     ,  7.66    ,  0.08  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.13    ,  0.01  
FeO     , 15.60    ,  0.20  
Ni      ,  0.0791  ,  0.0040
Zn      ,  0.0952  ,  0.0030
Br      ,  0.0095  ,  0.0010
