"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.26    ,  0.14  
MgO     ,  6.57    ,  0.17  
Al2O3   , 10.48    ,  0.29  
SiO2    , 52.34    ,  0.54  
P2O5    ,  1.07    ,  0.07  
SO3     ,  7.22    ,  0.10  
Cl      ,  1.68    ,  0.03  
K2O     ,  0.97    ,  0.04  
CaO     ,  4.21    ,  0.06  
TiO2    ,  1.09    ,  0.03  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 10.17    ,  0.13  
Ni      ,  0.1832  ,  0.0095
Zn      ,  0.0688  ,  0.0025
Br      ,  0.0217  ,  0.0010
