"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.96    ,  0.14  
MgO     ,  7.69    ,  0.17  
Al2O3   ,  9.05    ,  0.19  
SiO2    , 47.27    ,  0.54  
P2O5    ,  1.14    ,  0.07  
SO3     ,  4.18    ,  0.08  
Cl      ,  1.11    ,  0.03  
K2O     ,  0.89    ,  0.04  
CaO     ,  4.75    ,  0.06  
TiO2    ,  0.93    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 19.19    ,  0.20  
Ni      ,  0.0716  ,  0.0040
Zn      ,  0.0907  ,  0.0030
Br      ,  0.0107  ,  0.0010
