"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  4.62    ,  0.17  
Al2O3   ,  8.88    ,  0.19  
SiO2    , 48.35    ,  0.54  
P2O5    ,  0.74    ,  0.05  
SO3     ,  7.50    ,  0.10  
Cl      ,  0.88    ,  0.02  
K2O     ,  0.83    ,  0.04  
CaO     ,  4.70    ,  0.06  
TiO2    ,  1.11    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 19.06    ,  0.20  
Ni      ,  0.0966  ,  0.0050
Zn      ,  0.1545  ,  0.0050
Br      ,  0.0039  ,  0.0005
