"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  6.57    ,  0.17  
Al2O3   ,  8.46    ,  0.19  
SiO2    , 44.76    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     ,  8.93    ,  0.10  
Cl      ,  1.90    ,  0.03  
K2O     ,  0.87    ,  0.04  
CaO     ,  4.88    ,  0.06  
TiO2    ,  0.97    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.33    ,  0.01  
FeO     , 18.41    ,  0.20  
Ni      ,  0.1045  ,  0.0055
Zn      ,  0.1127  ,  0.0035
Br      ,  0.0109  ,  0.0005
