"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  5.39    ,  0.17  
Al2O3   ,  8.55    ,  0.19  
SiO2    , 45.08    ,  0.54  
P2O5    ,  0.81    ,  0.05  
SO3     , 11.30    ,  0.12  
Cl      ,  1.01    ,  0.02  
K2O     ,  0.85    ,  0.04  
CaO     ,  6.73    ,  0.07  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.13    ,  0.01  
FeO     , 16.14    ,  0.20  
Ni      ,  0.0821  ,  0.0045
Zn      ,  0.0983  ,  0.0030
Br      ,  0.0095  ,  0.0005
