"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.16    ,  0.07  
MgO     ,  6.55    ,  0.17  
Al2O3   ,  8.05    ,  0.19  
SiO2    , 42.85    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  9.60    ,  0.10  
Cl      ,  0.91    ,  0.02  
K2O     ,  0.88    ,  0.04  
CaO     ,  6.32    ,  0.07  
TiO2    ,  1.11    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.37    ,  0.01  
FeO     , 19.77    ,  0.26  
Ni      ,  0.0867  ,  0.0045
Zn      ,  0.2124  ,  0.0065
Br      ,  0.0056  ,  0.0005
