"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.62    ,  0.14  
MgO     ,  5.56    ,  0.17  
Al2O3   ,  9.33    ,  0.19  
SiO2    , 47.29    ,  0.54  
P2O5    ,  0.89    ,  0.05  
SO3     ,  7.79    ,  0.10  
Cl      ,  1.45    ,  0.03  
K2O     ,  0.98    ,  0.04  
CaO     ,  4.71    ,  0.06  
TiO2    ,  0.93    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     , 17.76    ,  0.20  
Ni      ,  0.0803  ,  0.0045
Zn      ,  0.0871  ,  0.0030
Br      ,  0.0042  ,  0.0005
