"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  4.55    ,  0.17  
Al2O3   ,  9.23    ,  0.19  
SiO2    , 52.45    ,  0.54  
P2O5    ,  0.48    ,  0.05  
SO3     ,  5.46    ,  0.08  
Cl      ,  0.71    ,  0.02  
K2O     ,  1.05    ,  0.04  
CaO     ,  4.45    ,  0.06  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.14    ,  0.01  
FeO     , 17.28    ,  0.20  
Ni      ,  0.0816  ,  0.0045
Zn      ,  0.1303  ,  0.0040
Br      ,  0.0072  ,  0.0005
