"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.21    ,  0.20  
MgO     ,  3.82    ,  0.17  
Al2O3   , 15.69    ,  0.38  
SiO2    , 50.74    ,  0.75  
P2O5    ,  0.91    ,  0.07  
SO3     ,  5.70    ,  0.17  
Cl      ,  0.87    ,  0.05  
K2O     ,  0.65    ,  0.04  
CaO     ,  8.03    ,  0.11  
TiO2    ,  0.83    ,  0.05  
Cr2O3   ,  0.07    ,  0.03  
MnO     ,  0.16    ,  0.03  
FeO     ,  8.24    ,  0.13  
Ni      ,  0.0027  ,  0.0025
Zn      ,  0.0121  ,  0.0015
Br      ,  0.0050  ,  0.0010
