"Target: Et_Then, Contains DAT files: APA_405536150ESC00910050104_______M2.DAT"
 7467.2  ,      48
 7491.6  ,      29
 7516.0  ,      37
 7540.4  ,      25
 7564.8  ,      21
 7589.3  ,      39
 7613.7  ,      23
 7638.1  ,      38
 7662.5  ,      31
 7686.9  ,      26
 7711.3  ,      41
 7735.7  ,      29
 7760.1  ,      34
 7784.5  ,      33
 7808.9  ,      39
 7833.4  ,      47
 7857.8  ,      39
 7882.2  ,      35
 7906.6  ,      44
 7931.0  ,      37
 7955.4  ,      33
 7979.8  ,      26
 8004.2  ,      31
 8028.6  ,      39
 8053.1  ,      28
 8077.5  ,      46
 8101.9  ,      33
 8126.3  ,      29
 8150.7  ,      26
 8175.1  ,      21
 8199.5  ,      23
 8223.9  ,      21
 8248.3  ,      30
 8272.7  ,      24
 8297.2  ,      25
 8321.6  ,      34
 8346.0  ,      33
 8370.4  ,      39
 8394.8  ,      38
 8419.2  ,      31
 8443.6  ,      27
 8468.0  ,      37
 8492.4  ,      42
 8516.8  ,      35
 8541.3  ,      50
 8565.7  ,      52
 8590.1  ,      54
 8614.5  ,      61
 8638.9  ,      56
 8663.3  ,      44
 8687.7  ,      38
 8712.1  ,      35
 8736.5  ,      40
 8760.9  ,      31
 8785.4  ,      32
 8809.8  ,      32
 8834.2  ,      35
 8858.6  ,      26
 8883.0  ,      45
 8907.4  ,      26
 8931.8  ,      26
 8956.2  ,      33
 8980.6  ,      29
 9005.0  ,      33
 9029.5  ,      34
 9053.9  ,      35
 9078.3  ,      31
 9102.7  ,      28
 9127.1  ,      34
 9151.5  ,      31
 9175.9  ,      33
 9200.3  ,      33
 9224.7  ,      35
 9249.1  ,      39
 9273.6  ,      31
 9298.0  ,      32
 9322.4  ,      36
 9346.8  ,      35
 9371.2  ,      36
 9395.6  ,      25
 9420.0  ,      31
 9444.4  ,      26
 9468.8  ,      31
 9493.3  ,      34
 9517.7  ,      24
 9542.1  ,      31
 9566.5  ,      46
 9590.9  ,      45
 9615.3  ,      36
 9639.7  ,      32
 9664.1  ,      38
 9688.5  ,      43
 9712.9  ,      30
 9737.4  ,      36
 9761.8  ,      29
 9786.2  ,      35
 9810.6  ,      32
 9835.0  ,      39
 9859.4  ,      18
 9883.8  ,      44
 9908.2  ,      22
 9932.6  ,      25
 9957.0  ,      38
 9981.5  ,      29
10005.9  ,      26
10030.3  ,      30
10054.7  ,      19
10079.1  ,      23
10103.5  ,      28
10127.9  ,      22
10152.3  ,      31
10176.7  ,      33
10201.1  ,      20
10225.6  ,      37
10250.0  ,      22
10274.4  ,      21
10298.8  ,      32
10323.2  ,      24
10347.6  ,      28
10372.0  ,      11
10396.4  ,      28
10420.8  ,      25
10445.2  ,      22
10469.7  ,      27
10494.1  ,      32
10518.5  ,      30
10542.9  ,      33
10567.3  ,      33
10591.7  ,      23
10616.1  ,      30
10640.5  ,      35
10664.9  ,      19
10689.3  ,      29
10713.8  ,      26
10738.2  ,      30
10762.6  ,      22
10787.0  ,      28
10811.4  ,      23
10835.8  ,      27
10860.2  ,      29
10884.6  ,      25
10909.0  ,      25
10933.5  ,      25
10957.9  ,      30
10982.3  ,      23
11006.7  ,      28
11031.1  ,      25
11055.5  ,      22
11079.9  ,      40
11104.3  ,      30
11128.7  ,      24
11153.1  ,      26
11177.6  ,      18
11202.0  ,      24
11226.4  ,      30
11250.8  ,      31
11275.2  ,      26
11299.6  ,      33
11324.0  ,      35
11348.4  ,      34
11372.8  ,      25
11397.2  ,      27
11421.7  ,      34
11446.1  ,      34
11470.5  ,      26
11494.9  ,      26
11519.3  ,      32
11543.7  ,      24
11568.1  ,      31
11592.5  ,      28
11616.9  ,      35
11641.3  ,      31
11665.8  ,      34
11690.2  ,      33
11714.6  ,      33
11739.0  ,      27
11763.4  ,      29
11787.8  ,      31
11812.2  ,      35
11836.6  ,      31
11861.0  ,      40
11885.4  ,      34
11909.9  ,      26
11934.3  ,      34
11958.7  ,      37
11983.1  ,      43
12007.5  ,      34
12031.9  ,      37
12056.3  ,      27
12080.7  ,      31
12105.1  ,      37
12129.5  ,      45
12154.0  ,      41
12178.4  ,      29
12202.8  ,      31
12227.2  ,      29
12251.6  ,      28
12276.0  ,      23
12300.4  ,      28
12324.8  ,      27
12349.2  ,      36
12373.7  ,      33
12398.1  ,      27
12422.5  ,      17
12446.9  ,      31
12471.3  ,      22
12495.7  ,      42
12520.1  ,      31
12544.5  ,      37
12568.9  ,      30
12593.3  ,      30
12617.8  ,      34
12642.2  ,      31
12666.6  ,      42
12691.0  ,      30
12715.4  ,      34
12739.8  ,      21
12764.2  ,      36
12788.6  ,      36
12813.0  ,      47
12837.4  ,      40
12861.9  ,      29
12886.3  ,      41
12910.7  ,      46
12935.1  ,      46
12959.5  ,      42
12983.9  ,      38
13008.3  ,      36
13032.7  ,      47
13057.1  ,      42
