"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  5.02    ,  0.17  
Al2O3   ,  8.89    ,  0.19  
SiO2    , 47.88    ,  0.54  
P2O5    ,  0.81    ,  0.05  
SO3     ,  7.76    ,  0.12  
Cl      ,  0.80    ,  0.03  
K2O     ,  0.93    ,  0.04  
CaO     ,  5.27    ,  0.06  
TiO2    ,  1.02    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.09    ,  0.01  
FeO     , 18.46    ,  0.20  
Ni      ,  0.0802  ,  0.0045
Zn      ,  0.0857  ,  0.0030
Br      ,  0.0429  ,  0.0015
