"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.35    ,  0.14  
MgO     ,  5.37    ,  0.17  
Al2O3   ,  8.59    ,  0.19  
SiO2    , 47.35    ,  0.54  
P2O5    ,  1.24    ,  0.07  
SO3     ,  8.39    ,  0.15  
Cl      ,  1.67    ,  0.04  
K2O     ,  0.91    ,  0.04  
CaO     ,  5.23    ,  0.06  
TiO2    ,  0.98    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 16.92    ,  0.20  
Ni      ,  0.1013  ,  0.0055
Zn      ,  0.2382  ,  0.0075
Br      ,  0.0755  ,  0.0025
