"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.65    ,  0.14  
MgO     ,  9.91    ,  0.25  
Al2O3   ,  8.58    ,  0.19  
SiO2    , 41.72    ,  0.43  
P2O5    ,  0.86    ,  0.05  
SO3     ,  5.11    ,  0.08  
Cl      ,  1.18    ,  0.02  
K2O     ,  0.39    ,  0.01  
CaO     ,  6.37    ,  0.07  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.56    ,  0.01  
MnO     ,  0.46    ,  0.01  
FeO     , 21.05    ,  0.26  
Ni      ,  0.0593  ,  0.0030
Zn      ,  0.0465  ,  0.0015
Br      ,  0.0060  ,  0.0005
