"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     , 10.21    ,  0.25  
Al2O3   ,  7.97    ,  0.19  
SiO2    , 40.08    ,  0.43  
P2O5    ,  0.85    ,  0.05  
SO3     , 11.72    ,  0.15  
Cl      ,  1.08    ,  0.03  
K2O     ,  0.42    ,  0.02  
CaO     ,  6.81    ,  0.07  
TiO2    ,  0.85    ,  0.03  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.35    ,  0.01  
FeO     , 16.59    ,  0.20  
Ni      ,  0.0387  ,  0.0025
Zn      ,  0.0334  ,  0.0015
Br      ,  0.0388  ,  0.0015
