"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.73    ,  0.20  
MgO     ,  5.65    ,  0.25  
Al2O3   , 11.56    ,  0.29  
SiO2    , 43.74    ,  0.64  
P2O5    ,  1.27    ,  0.09  
SO3     ,  8.36    ,  0.22  
Cl      ,  1.36    ,  0.06  
K2O     ,  0.71    ,  0.04  
CaO     ,  8.22    ,  0.13  
TiO2    ,  0.86    ,  0.07  
Cr2O3   ,  0.08    ,  0.03  
MnO     ,  0.29    ,  0.03  
FeO     , 13.94    ,  0.20  
Ni      ,  0.0081  ,  0.0035
Zn      ,  0.0377  ,  0.0030
Br      ,  0.0071  ,  0.0020
