"Target: Hopeman_raster2, Contains DAT files: APB_576662747ESC20180691648_______M1.DAT"
  483.8  ,     810
  508.2  ,       0
  532.6  ,       0
  557.0  ,       0
  581.4  ,       0
  605.8  ,     111
  630.2  ,       0
  654.6  ,      63
  679.0  ,     143
  703.4  ,     133
  727.8  ,     158
  752.2  ,     123
  776.6  ,     134
  801.0  ,     123
  825.4  ,     135
  849.8  ,     138
  874.2  ,     139
  898.6  ,     145
  923.0  ,     163
  947.4  ,     255
  971.8  ,     369
  996.2  ,     543
 1020.6  ,     685
 1045.0  ,     605
 1069.4  ,     518
 1093.8  ,     349
 1118.2  ,     258
 1142.6  ,     252
 1167.0  ,     428
 1191.5  ,     663
 1215.9  ,     878
 1240.3  ,    1063
 1264.7  ,     918
 1289.1  ,     644
 1313.5  ,     510
 1337.9  ,     373
 1362.3  ,     413
 1386.7  ,     740
 1411.1  ,    1530
 1435.5  ,    2551
 1459.9  ,    3522
 1484.3  ,    3709
 1508.7  ,    2878
 1533.1  ,    1868
 1557.5  ,    1052
 1581.9  ,     678
 1606.3  ,     819
 1630.7  ,    1525
 1655.1  ,    3311
 1679.5  ,    6079
 1703.9  ,    8636
 1728.3  ,   10205
 1752.7  ,    8770
 1777.1  ,    5969
 1801.5  ,    3329
 1825.9  ,    1601
 1850.3  ,     771
 1874.7  ,     405
 1899.1  ,     271
 1923.5  ,     191
 1947.9  ,     188
 1972.3  ,     205
 1996.7  ,     211
 2021.1  ,     197
 2045.5  ,     174
 2069.9  ,     109
 2094.3  ,      85
 2118.7  ,      67
 2143.1  ,      52
 2167.5  ,      78
 2191.9  ,     118
 2216.3  ,     199
 2240.7  ,     300
 2265.1  ,     475
 2289.5  ,     618
 2313.9  ,     575
 2338.3  ,     434
 2362.7  ,     267
 2387.1  ,     148
 2411.5  ,      77
 2435.9  ,      74
 2460.3  ,      71
 2484.7  ,      62
 2509.1  ,      80
 2533.5  ,      89
 2557.9  ,     129
 2582.4  ,     173
 2606.8  ,     184
 2631.2  ,     205
 2655.6  ,     135
 2680.0  ,     112
 2704.4  ,      56
 2728.8  ,      41
 2753.2  ,      35
 2777.6  ,      36
 2802.0  ,      35
 2826.4  ,      32
 2850.8  ,      41
 2875.2  ,      28
 2899.6  ,      42
 2924.0  ,      27
 2948.4  ,      29
 2972.8  ,      25
 2997.2  ,      26
 3021.6  ,      23
 3046.0  ,      25
 3070.4  ,      16
 3094.8  ,      15
 3119.2  ,      22
 3143.6  ,      16
 3168.0  ,      34
 3192.4  ,      38
 3216.8  ,      58
 3241.2  ,      74
 3265.6  ,     103
 3290.0  ,     113
 3314.4  ,     111
 3338.8  ,     101
 3363.2  ,      88
 3387.6  ,      66
 3412.0  ,      53
 3436.4  ,      42
 3460.8  ,      38
 3485.2  ,      38
 3509.6  ,      63
 3534.0  ,      82
 3558.4  ,     116
 3582.8  ,     188
 3607.2  ,     370
 3631.6  ,     505
 3656.0  ,     722
 3680.4  ,     726
 3704.8  ,     660
 3729.2  ,     509
 3753.6  ,     319
 3778.0  ,     145
 3802.4  ,      69
 3826.8  ,      36
 3851.2  ,      20
 3875.6  ,      22
 3900.0  ,      50
 3924.4  ,      51
 3948.8  ,      78
 3973.3  ,      75
 3997.7  ,     102
 4022.1  ,     103
 4046.5  ,      82
 4070.9  ,      59
 4095.3  ,      46
 4119.7  ,      33
 4144.1  ,      18
 4168.5  ,       9
 4192.9  ,       5
 4217.3  ,      17
 4241.7  ,      15
 4266.1  ,       9
 4290.5  ,      15
 4314.9  ,      26
 4339.3  ,      18
 4363.7  ,      23
 4388.1  ,      33
 4412.5  ,      33
 4436.9  ,      46
 4461.3  ,      73
 4485.7  ,      61
 4510.1  ,      68
 4534.5  ,      64
 4558.9  ,      47
 4583.3  ,      38
 4607.7  ,      32
 4632.1  ,      35
 4656.5  ,      16
 4680.9  ,      26
 4705.3  ,      17
 4729.7  ,      14
 4754.1  ,      12
 4778.5  ,      18
 4802.9  ,      10
 4827.3  ,      11
 4851.7  ,      18
 4876.1  ,      22
 4900.5  ,      26
 4924.9  ,      22
 4949.3  ,      19
 4973.7  ,      18
 4998.1  ,      14
 5022.5  ,      14
 5046.9  ,      13
 5071.3  ,      11
 5095.7  ,      22
 5120.1  ,      14
 5144.5  ,       5
 5168.9  ,      19
 5193.3  ,      16
 5217.7  ,      21
 5242.1  ,      20
 5266.5  ,      17
 5290.9  ,      13
 5315.3  ,      19
 5339.8  ,      19
 5364.2  ,      29
 5388.6  ,      16
 5413.0  ,      25
 5437.4  ,      24
 5461.8  ,      11
 5486.2  ,      20
 5510.6  ,      11
 5535.0  ,       9
 5559.4  ,      13
 5583.8  ,      16
 5608.2  ,      20
 5632.6  ,      17
 5657.0  ,      20
 5681.4  ,       9
 5705.8  ,      14
 5730.2  ,      18
 5754.6  ,      19
 5779.0  ,      22
 5803.4  ,      39
 5827.8  ,      52
 5852.2  ,      52
 5876.6  ,      69
 5901.0  ,      56
 5925.4  ,      49
 5949.8  ,      38
 5974.2  ,      26
 5998.6  ,      25
 6023.0  ,      27
 6047.4  ,      34
 6071.8  ,      34
 6096.2  ,      28
 6120.6  ,      38
 6145.0  ,      50
 6169.4  ,      59
 6193.8  ,      93
 6218.2  ,     176
 6242.6  ,     322
 6267.0  ,     644
 6291.4  ,    1054
 6315.8  ,    1571
 6340.2  ,    2036
 6364.6  ,    2508
 6389.0  ,    2481
 6413.4  ,    2228
 6437.8  ,    1703
 6462.2  ,    1158
 6486.6  ,     671
 6511.0  ,     349
 6535.4  ,     180
 6559.8  ,      84
 6584.2  ,      42
 6608.6  ,      27
 6633.0  ,      12
 6657.4  ,       8
 6681.8  ,      17
 6706.2  ,      17
 6730.7  ,      16
 6755.1  ,      16
 6779.5  ,      22
 6803.9  ,      25
 6828.3  ,      22
 6852.7  ,      37
