"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.88    ,  0.20  
MgO     ,  3.23    ,  0.17  
Al2O3   ,  7.76    ,  0.29  
SiO2    , 66.41    ,  0.96  
P2O5    ,  0.90    ,  0.07  
SO3     ,  7.65    ,  0.25  
Cl      ,  0.87    ,  0.05  
K2O     ,  0.96    ,  0.05  
CaO     ,  5.29    ,  0.11  
TiO2    ,  0.46    ,  0.05  
Cr2O3   ,  0.11    ,  0.03  
MnO     ,  0.14    ,  0.03  
FeO     ,  3.27    ,  0.07  
Ni      ,  0.0016  ,  0.0025
Zn      ,  0.0121  ,  0.0020
Br      ,  0.0098  ,  0.0010
