"Target: Hopeman_raster3, Contains DAT files: APB_576663993ESC20180691648_______M1.DAT"
  485.1  ,     900
  509.5  ,       0
  533.9  ,       0
  558.3  ,       0
  582.7  ,       0
  607.1  ,     111
  631.5  ,       0
  655.9  ,      73
  680.3  ,     223
  704.7  ,     226
  729.1  ,     234
  753.5  ,     236
  777.9  ,     225
  802.2  ,     229
  826.6  ,     201
  851.0  ,     203
  875.4  ,     244
  899.8  ,     258
  924.2  ,     309
  948.6  ,     480
  973.0  ,     701
  997.4  ,     986
 1021.8  ,    1266
 1046.2  ,    1241
 1070.6  ,     856
 1095.0  ,     569
 1119.4  ,     441
 1143.8  ,     456
 1168.2  ,     648
 1192.6  ,    1018
 1217.0  ,    1461
 1241.4  ,    1702
 1265.8  ,    1520
 1290.2  ,    1124
 1314.6  ,     790
 1339.0  ,     663
 1363.4  ,     834
 1387.7  ,    1510
 1412.1  ,    2863
 1436.5  ,    5000
 1460.9  ,    6481
 1485.3  ,    6800
 1509.7  ,    5360
 1534.1  ,    3372
 1558.5  ,    1919
 1582.9  ,    1232
 1607.3  ,    1380
 1631.7  ,    2434
 1656.1  ,    5302
 1680.5  ,    9577
 1704.9  ,   13817
 1729.3  ,   15798
 1753.7  ,   13645
 1778.1  ,    9208
 1802.5  ,    5017
 1826.9  ,    2294
 1851.3  ,    1169
 1875.7  ,     680
 1900.1  ,     448
 1924.5  ,     331
 1948.9  ,     291
 1973.2  ,     385
 1997.6  ,     377
 2022.0  ,     365
 2046.4  ,     282
 2070.8  ,     205
 2095.2  ,     160
 2119.6  ,     137
 2144.0  ,     127
 2168.4  ,     151
 2192.8  ,     257
 2217.2  ,     411
 2241.6  ,     712
 2266.0  ,    1055
 2290.4  ,    1237
 2314.8  ,    1223
 2339.2  ,     971
 2363.6  ,     556
 2388.0  ,     320
 2412.4  ,     175
 2436.8  ,     157
 2461.2  ,     145
 2485.6  ,     127
 2510.0  ,     149
 2534.4  ,     161
 2558.8  ,     276
 2583.1  ,     339
 2607.5  ,     338
 2631.9  ,     355
 2656.3  ,     238
 2680.7  ,     170
 2705.1  ,      98
 2729.5  ,      75
 2753.9  ,      51
 2778.3  ,      79
 2802.7  ,      51
 2827.1  ,      59
 2851.5  ,      55
 2875.9  ,      52
 2900.3  ,      52
 2924.7  ,      54
 2949.1  ,      58
 2973.5  ,      44
 2997.9  ,      34
 3022.3  ,      34
 3046.7  ,      42
 3071.1  ,      31
 3095.5  ,      39
 3119.9  ,      44
 3144.3  ,      30
 3168.6  ,      52
 3193.0  ,      88
 3217.4  ,     129
 3241.8  ,     181
 3266.2  ,     252
 3290.6  ,     354
 3315.0  ,     311
 3339.4  ,     251
 3363.8  ,     195
 3388.2  ,     127
 3412.6  ,      90
 3437.0  ,      67
 3461.4  ,      62
 3485.8  ,      85
 3510.2  ,     103
 3534.6  ,     140
 3559.0  ,     214
 3583.4  ,     401
 3607.8  ,     559
 3632.2  ,     921
 3656.6  ,    1177
 3681.0  ,    1198
 3705.4  ,    1108
 3729.8  ,     789
 3754.1  ,     503
 3778.5  ,     301
 3802.9  ,     145
 3827.3  ,      77
 3851.7  ,      40
 3876.1  ,      59
 3900.5  ,      68
 3924.9  ,      92
 3949.3  ,     121
 3973.7  ,     144
 3998.1  ,     182
 4022.5  ,     178
 4046.9  ,     141
 4071.3  ,     119
 4095.7  ,      64
 4120.1  ,      63
 4144.5  ,      30
 4168.9  ,      16
 4193.3  ,      28
 4217.7  ,      25
 4242.1  ,      23
 4266.5  ,      21
 4290.9  ,      20
 4315.3  ,      15
 4339.7  ,      24
 4364.0  ,      29
 4388.4  ,      32
 4412.8  ,      48
 4437.2  ,      60
 4461.6  ,      85
 4486.0  ,      88
 4510.4  ,      94
 4534.8  ,      60
 4559.2  ,      63
 4583.6  ,      43
 4608.0  ,      62
 4632.4  ,      47
 4656.8  ,      45
 4681.2  ,      31
 4705.6  ,      25
 4730.0  ,      25
 4754.4  ,      21
 4778.8  ,      30
 4803.2  ,      23
 4827.6  ,      19
 4852.0  ,      20
 4876.4  ,      34
 4900.8  ,      30
 4925.2  ,      36
 4949.5  ,      26
 4973.9  ,      29
 4998.3  ,      25
 5022.7  ,      24
 5047.1  ,      21
 5071.5  ,      28
 5095.9  ,      21
 5120.3  ,      17
 5144.7  ,      17
 5169.1  ,      19
 5193.5  ,      26
 5217.9  ,      37
 5242.3  ,      33
 5266.7  ,      30
 5291.1  ,      34
 5315.5  ,      28
 5339.9  ,      28
 5364.3  ,      43
 5388.7  ,      34
 5413.1  ,      42
 5437.5  ,      33
