"Target: Askival_raster1, Contains DAT files: APB_576666953ESC20180691648_______M1.DAT"
  484.3  ,     900
  508.7  ,       0
  533.1  ,       0
  557.5  ,       0
  581.9  ,       0
  606.4  ,     111
  630.8  ,       1
  655.2  ,     126
  679.6  ,     146
  704.0  ,     151
  728.4  ,     150
  752.8  ,     160
  777.2  ,     156
  801.7  ,     135
  826.1  ,     129
  850.5  ,     149
  874.9  ,     158
  899.3  ,     151
  923.7  ,     198
  948.1  ,     219
  972.5  ,     327
  997.0  ,     495
 1021.4  ,     626
 1045.8  ,     617
 1070.2  ,     494
 1094.6  ,     309
 1119.0  ,     247
 1143.4  ,     231
 1167.8  ,     326
 1192.3  ,     545
 1216.7  ,     851
 1241.1  ,    1007
 1265.5  ,     859
 1289.9  ,     596
 1314.3  ,     391
 1338.7  ,     298
 1363.1  ,     380
 1387.6  ,     611
 1412.0  ,    1113
 1436.4  ,    2041
 1460.8  ,    2852
 1485.2  ,    2942
 1509.6  ,    2377
 1534.0  ,    1437
 1558.4  ,     858
 1582.9  ,     695
 1607.3  ,     990
 1631.7  ,    1993
 1656.1  ,    5024
 1680.5  ,   10485
 1704.9  ,   16537
 1729.3  ,   18807
 1753.7  ,   15898
 1778.2  ,   10129
 1802.6  ,    4902
 1827.0  ,    2146
 1851.4  ,     944
 1875.8  ,     552
 1900.2  ,     323
 1924.6  ,     215
 1949.0  ,     193
 1973.5  ,     163
 1997.9  ,     186
 2022.3  ,     170
 2046.7  ,     151
 2071.1  ,     109
 2095.5  ,      76
 2119.9  ,      62
 2144.3  ,      73
 2168.8  ,      79
 2193.2  ,     130
 2217.6  ,     234
 2242.0  ,     427
 2266.4  ,     662
 2290.8  ,     828
 2315.2  ,     718
 2339.6  ,     560
 2364.1  ,     310
 2388.5  ,     158
 2412.9  ,     114
 2437.3  ,      71
 2461.7  ,      84
 2486.1  ,      76
 2510.5  ,      83
 2534.9  ,     101
 2559.4  ,     119
 2583.8  ,     165
 2608.2  ,     165
 2632.6  ,     160
 2657.0  ,     123
 2681.4  ,      71
 2705.8  ,      64
 2730.2  ,      35
 2754.7  ,      25
 2779.1  ,      35
 2803.5  ,      39
 2827.9  ,      22
 2852.3  ,      34
 2876.7  ,      41
 2901.1  ,      27
 2925.5  ,      37
 2950.0  ,      39
 2974.4  ,      41
 2998.8  ,      24
 3023.2  ,      22
 3047.6  ,      17
 3072.0  ,      23
 3096.4  ,      13
 3120.8  ,      25
 3145.3  ,      23
 3169.7  ,      31
 3194.1  ,      42
 3218.5  ,      56
 3242.9  ,      98
 3267.3  ,     142
 3291.7  ,     166
 3316.1  ,     152
 3340.6  ,     128
 3365.0  ,     107
 3389.4  ,      62
 3413.8  ,      31
 3438.2  ,      34
 3462.6  ,      32
 3487.0  ,      48
 3511.4  ,      49
 3535.9  ,      57
 3560.3  ,      92
 3584.7  ,     177
 3609.1  ,     273
 3633.5  ,     442
 3657.9  ,     596
 3682.3  ,     629
 3706.7  ,     531
 3731.2  ,     387
 3755.6  ,     220
 3780.0  ,      98
 3804.4  ,      67
 3828.8  ,      26
 3853.2  ,      19
 3877.6  ,      23
 3902.0  ,      26
 3926.5  ,      40
 3950.9  ,      62
 3975.3  ,      58
 3999.7  ,      90
 4024.1  ,      84
 4048.5  ,      63
 4072.9  ,      43
 4097.3  ,      31
 4121.7  ,      18
 4146.2  ,      25
 4170.6  ,      12
 4195.0  ,      15
 4219.4  ,      15
 4243.8  ,      10
 4268.2  ,       7
 4292.6  ,       6
 4317.0  ,      13
 4341.5  ,      16
 4365.9  ,      21
 4390.3  ,      19
 4414.7  ,      34
 4439.1  ,      43
 4463.5  ,      57
 4487.9  ,      59
 4512.3  ,      50
 4536.8  ,      45
 4561.2  ,      30
 4585.6  ,      30
 4610.0  ,      18
 4634.4  ,      25
 4658.8  ,      14
 4683.2  ,      15
 4707.6  ,      13
 4732.1  ,      11
 4756.5  ,      14
 4780.9  ,       7
 4805.3  ,      10
 4829.7  ,      12
 4854.1  ,      13
 4878.5  ,      10
 4902.9  ,      16
 4927.4  ,      13
 4951.8  ,      16
 4976.2  ,      13
 5000.6  ,       7
 5025.0  ,      10
 5049.4  ,       9
 5073.8  ,       8
 5098.2  ,      10
 5122.7  ,       4
 5147.1  ,      10
 5171.5  ,      16
 5195.9  ,      11
 5220.3  ,       7
 5244.7  ,       8
 5269.1  ,      11
 5293.5  ,      13
 5318.0  ,      13
 5342.4  ,      14
 5366.8  ,      23
 5391.2  ,      34
 5415.6  ,      28
 5440.0  ,      16
 5464.4  ,      12
 5488.8  ,      11
 5513.3  ,      12
 5537.7  ,      18
 5562.1  ,      12
 5586.5  ,      10
 5610.9  ,       8
 5635.3  ,      15
 5659.7  ,      14
 5684.1  ,      15
 5708.6  ,      16
 5733.0  ,       7
 5757.4  ,      14
 5781.8  ,      12
 5806.2  ,      29
 5830.6  ,      29
 5855.0  ,      37
 5879.4  ,      35
 5903.9  ,      47
 5928.3  ,      37
 5952.7  ,      18
 5977.1  ,      29
 6001.5  ,      19
 6025.9  ,      18
 6050.3  ,       6
 6074.7  ,      17
 6099.2  ,      15
 6123.6  ,      22
 6148.0  ,      26
 6172.4  ,      22
 6196.8  ,      28
 6221.2  ,      74
 6245.6  ,     121
 6270.0  ,     250
 6294.5  ,     379
 6318.9  ,     569
 6343.3  ,     817
 6367.7  ,     915
 6392.1  ,     904
 6416.5  ,     766
 6440.9  ,     567
 6465.3  ,     373
 6489.8  ,     216
 6514.2  ,     136
 6538.6  ,      42
 6563.0  ,      27
 6587.4  ,      17
 6611.8  ,      10
 6636.2  ,      11
 6660.6  ,      12
 6685.1  ,      17
 6709.5  ,      13
 6733.9  ,      12
 6758.3  ,      11
 6782.7  ,      14
 6807.1  ,      22
 6831.5  ,      12
 6855.9  ,      15
 6880.4  ,      24
 6904.8  ,      27
 6929.2  ,      52
 6953.6  ,      79
 6978.0  ,     120
 7002.4  ,     135
 7026.8  ,     143
 7051.2  ,     158
 7075.7  ,     122
 7100.1  ,      91
 7124.5  ,      70
 7148.9  ,      46
 7173.3  ,      24
 7197.7  ,      14
 7222.1  ,       9
 7246.5  ,       7
 7271.0  ,       8
 7295.4  ,       2
 7319.8  ,       6
 7344.2  ,      10
 7368.6  ,       6
 7393.0  ,      11
 7417.4  ,       9
 7441.8  ,       8
 7466.3  ,       7
 7490.7  ,       6
 7515.1  ,       7
 7539.5  ,       4
 7563.9  ,       8
 7588.3  ,       8
 7612.7  ,       8
 7637.1  ,       4
 7661.5  ,      10
 7686.0  ,       9
 7710.4  ,       9
 7734.8  ,       5
 7759.2  ,       4
 7783.6  ,       4
 7808.0  ,       4
 7832.4  ,       5
 7856.8  ,       6
 7881.3  ,      10
 7905.7  ,      10
 7930.1  ,       5
 7954.5  ,      13
 7978.9  ,      12
 8003.3  ,       7
 8027.7  ,      12
 8052.1  ,       7
 8076.6  ,       9
 8101.0  ,      11
 8125.4  ,       8
 8149.8  ,       8
 8174.2  ,       5
 8198.6  ,       6
 8223.0  ,       7
 8247.4  ,       8
 8271.9  ,       6
 8296.3  ,       2
 8320.7  ,       8
 8345.1  ,       8
 8369.5  ,       6
 8393.9  ,      11
 8418.3  ,       3
 8442.7  ,       4
 8467.2  ,       9
 8491.6  ,      14
 8516.0  ,      10
 8540.4  ,      17
 8564.8  ,      22
 8589.2  ,      10
 8613.6  ,      24
 8638.0  ,      18
 8662.5  ,      16
 8686.9  ,      19
 8711.3  ,      14
 8735.7  ,      10
 8760.1  ,       8
 8784.5  ,       2
 8808.9  ,      12
 8833.3  ,       8
 8857.8  ,       6
 8882.2  ,      11
 8906.6  ,       4
 8931.0  ,      11
 8955.4  ,      10
 8979.8  ,       6
 9004.2  ,       8
 9028.6  ,       9
 9053.1  ,       7
 9077.5  ,       7
 9101.9  ,      10
 9126.3  ,       7
 9150.7  ,       8
 9175.1  ,      11
