"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.26    ,  0.20  
MgO     ,  4.30    ,  0.17  
Al2O3   , 14.42    ,  0.38  
SiO2    , 44.95    ,  0.64  
P2O5    ,  1.29    ,  0.07  
SO3     ,  7.91    ,  0.20  
Cl      ,  1.14    ,  0.05  
K2O     ,  1.21    ,  0.05  
CaO     ,  7.27    ,  0.11  
TiO2    ,  0.40    ,  0.03  
Cr2O3   ,  0.04    ,  0.03  
MnO     ,  0.22    ,  0.03  
FeO     , 12.50    ,  0.13  
Ni      ,  0.0096  ,  0.0030
Zn      ,  0.0263  ,  0.0025
Br      ,  0.0039  ,  0.0010
