"Target: Askival_raster3, Contains DAT files: APB_576668225ESC20180691648_______M1.DAT"
 7491.0  ,       2
 7515.5  ,      10
 7539.9  ,       6
 7564.3  ,       9
 7588.7  ,       6
 7613.1  ,       5
 7637.5  ,       8
 7661.9  ,       8
 7686.4  ,       6
 7710.8  ,      10
 7735.2  ,       6
 7759.6  ,       6
 7784.0  ,       8
 7808.4  ,       9
 7832.8  ,       9
 7857.2  ,       9
 7881.7  ,      10
 7906.1  ,       7
 7930.5  ,      10
 7954.9  ,      12
 7979.3  ,      10
 8003.7  ,      12
 8028.1  ,      12
 8052.6  ,      15
 8077.0  ,      14
 8101.4  ,       9
 8125.8  ,       9
 8150.2  ,       4
 8174.6  ,      12
 8199.0  ,       6
 8223.4  ,       9
 8247.9  ,      12
 8272.3  ,       6
 8296.7  ,       7
 8321.1  ,       9
 8345.5  ,       4
 8369.9  ,       9
 8394.3  ,      11
 8418.8  ,      11
 8443.2  ,       5
 8467.6  ,       9
 8492.0  ,       7
 8516.4  ,      18
 8540.8  ,      14
 8565.2  ,      12
 8589.6  ,      20
 8614.1  ,      19
 8638.5  ,      21
 8662.9  ,      15
 8687.3  ,      15
 8711.7  ,      14
 8736.1  ,       3
 8760.5  ,       8
 8785.0  ,       9
 8809.4  ,       6
 8833.8  ,      11
 8858.2  ,      12
 8882.6  ,       4
 8907.0  ,      10
 8931.4  ,       7
 8955.8  ,      11
 8980.3  ,       7
 9004.7  ,       7
 9029.1  ,       7
 9053.5  ,       4
 9077.9  ,      11
 9102.3  ,      11
 9126.7  ,       7
 9151.2  ,       6
 9175.6  ,       4
 9200.0  ,       6
 9224.4  ,       8
 9248.8  ,       7
 9273.2  ,       5
 9297.6  ,       9
 9322.0  ,       3
 9346.5  ,       6
 9370.9  ,       9
 9395.3  ,       8
 9419.7  ,       6
 9444.1  ,       5
 9468.5  ,       5
 9492.9  ,      10
 9517.4  ,       6
 9541.8  ,      12
 9566.2  ,       7
 9590.6  ,      12
 9615.0  ,       6
 9639.4  ,       9
 9663.8  ,      11
 9688.2  ,       6
 9712.7  ,      11
 9737.1  ,       9
 9761.5  ,      14
 9785.9  ,      10
 9810.3  ,      17
 9834.7  ,      10
 9859.1  ,      13
 9883.6  ,      14
 9908.0  ,      11
 9932.4  ,       8
 9956.8  ,      10
 9981.2  ,       8
10005.6  ,       7
10030.0  ,       9
10054.4  ,       6
10078.9  ,       8
10103.3  ,      11
10127.7  ,       7
10152.1  ,       4
10176.5  ,       4
10200.9  ,       8
10225.3  ,       7
10249.8  ,       8
10274.2  ,       8
10298.6  ,       4
10323.0  ,       6
10347.4  ,       6
10371.8  ,       8
10396.2  ,      13
10420.7  ,       5
10445.1  ,       4
10469.5  ,       9
10493.9  ,      10
10518.3  ,       6
10542.7  ,      10
10567.1  ,       7
10591.5  ,       5
10616.0  ,       8
10640.4  ,      12
10664.8  ,       7
10689.2  ,       9
10713.6  ,       7
10738.0  ,       4
10762.4  ,       5
10786.9  ,       4
10811.3  ,       4
10835.7  ,       9
10860.1  ,      15
10884.5  ,      12
10908.9  ,       8
10933.3  ,       7
10957.7  ,      13
10982.2  ,       6
11006.6  ,      11
11031.0  ,       5
11055.4  ,       5
11079.8  ,       8
11104.2  ,      10
11128.6  ,       7
11153.1  ,      13
11177.5  ,      11
11201.9  ,      10
11226.3  ,      11
11250.7  ,       7
11275.1  ,      10
11299.5  ,      11
11323.9  ,       8
11348.4  ,       6
11372.8  ,      10
11397.2  ,      11
11421.6  ,      13
11446.0  ,      11
11470.4  ,      22
11494.8  ,      10
11519.3  ,      15
11543.7  ,      24
11568.1  ,      17
11592.5  ,      17
11616.9  ,      19
11641.3  ,      20
11665.7  ,      20
11690.1  ,      18
11714.6  ,      20
11739.0  ,      17
11763.4  ,      27
11787.8  ,      19
11812.2  ,      25
11836.6  ,      35
11861.0  ,      28
11885.5  ,      40
11909.9  ,      32
11934.3  ,      38
11958.7  ,      27
11983.1  ,      26
12007.5  ,      32
12031.9  ,      25
12056.3  ,      23
12080.8  ,      20
12105.2  ,      30
12129.6  ,      23
12154.0  ,      21
12178.4  ,      16
12202.8  ,      13
12227.2  ,      17
12251.7  ,      19
12276.1  ,       8
12300.5  ,      11
12324.9  ,      15
12349.3  ,      17
12373.7  ,      12
12398.1  ,      11
12422.5  ,      15
12447.0  ,      17
12471.4  ,      13
12495.8  ,      16
12520.2  ,      15
12544.6  ,      13
12569.0  ,      15
12593.4  ,      14
12617.9  ,      11
12642.3  ,      14
12666.7  ,      18
12691.1  ,      17
12715.5  ,      25
12739.9  ,      20
12764.3  ,      12
12788.7  ,      16
12813.2  ,      22
12837.6  ,      23
12862.0  ,      25
12886.4  ,      26
12910.8  ,      36
12935.2  ,      38
12959.6  ,      29
12984.1  ,      38
13008.5  ,      47
13032.9  ,      38
13057.3  ,      55
13081.7  ,      48
13106.1  ,      48
13130.5  ,      70
