"Target: Hopeman_raster1, Contains DAT files: APB_576661505ESC20180691648_______M1.DAT"
 7437.2  ,      18
 7461.6  ,      13
 7486.0  ,       9
 7510.4  ,       7
 7534.8  ,      10
 7559.2  ,       9
 7583.6  ,      11
 7608.0  ,       7
 7632.4  ,       5
 7656.8  ,      13
 7681.2  ,       6
 7705.6  ,      11
 7730.0  ,       8
 7754.4  ,       8
 7778.8  ,       7
 7803.2  ,      10
 7827.6  ,      10
 7852.0  ,      11
 7876.4  ,       6
 7900.8  ,      20
 7925.2  ,       8
 7949.6  ,      11
 7974.0  ,      14
 7998.4  ,      12
 8022.8  ,       8
 8047.2  ,       5
 8071.6  ,       7
 8096.0  ,       2
 8120.4  ,      13
 8144.8  ,       6
 8169.2  ,      11
 8193.6  ,      12
 8218.0  ,      11
 8242.4  ,       5
 8266.8  ,      10
 8291.2  ,       8
 8315.6  ,       6
 8340.0  ,      10
 8364.4  ,       6
 8388.8  ,       8
 8413.2  ,      10
 8437.6  ,      16
 8462.0  ,      14
 8486.4  ,      17
 8510.8  ,      27
 8535.2  ,      19
 8559.6  ,      28
 8584.0  ,      36
 8608.4  ,      44
 8632.8  ,      34
 8657.2  ,      40
 8681.6  ,      37
 8706.0  ,      26
 8730.4  ,      16
 8754.8  ,      16
 8779.2  ,       8
 8803.6  ,       7
 8828.0  ,       6
 8852.4  ,       7
 8876.8  ,       9
 8901.2  ,       3
 8925.6  ,       7
 8950.0  ,       6
 8974.4  ,      10
 8998.8  ,       9
 9023.2  ,       5
 9047.6  ,      10
 9072.0  ,       7
 9096.4  ,       7
 9120.8  ,       7
 9145.2  ,      18
 9169.6  ,       9
 9194.0  ,       6
 9218.4  ,      15
 9242.8  ,      12
 9267.2  ,       9
 9291.6  ,      15
 9316.0  ,      16
 9340.4  ,      11
 9364.8  ,       7
 9389.2  ,       7
 9413.6  ,       7
 9438.0  ,       9
 9462.4  ,      13
 9486.8  ,      13
 9511.2  ,       8
 9535.6  ,      18
 9560.0  ,       8
 9584.4  ,      14
 9608.8  ,       6
 9633.2  ,      12
 9657.6  ,      17
 9682.0  ,      10
 9706.4  ,       8
 9730.8  ,       9
 9755.2  ,       4
 9779.6  ,       8
 9804.0  ,       4
 9828.4  ,       9
 9852.9  ,       4
 9877.3  ,       7
 9901.7  ,       5
 9926.1  ,       8
 9950.5  ,      10
 9974.9  ,       9
 9999.3  ,       6
10023.7  ,       9
10048.1  ,       4
10072.5  ,      12
10096.9  ,       7
10121.3  ,       5
10145.7  ,       7
10170.1  ,       7
10194.5  ,       8
10218.9  ,       7
10243.3  ,       9
10267.7  ,       5
10292.1  ,      10
10316.5  ,       8
10340.9  ,       9
10365.3  ,       7
10389.7  ,       8
10414.1  ,      12
10438.5  ,      12
10462.9  ,      11
10487.3  ,       7
10511.7  ,      16
10536.1  ,      10
10560.5  ,      10
10584.9  ,      13
10609.3  ,      13
10633.7  ,      10
10658.1  ,       9
10682.5  ,      12
10706.9  ,       6
10731.3  ,       9
10755.7  ,      10
10780.1  ,       7
10804.5  ,       9
10828.9  ,       5
10853.3  ,      12
10877.7  ,       8
10902.1  ,       6
10926.5  ,       5
10950.9  ,       4
10975.3  ,       8
10999.7  ,       9
11024.1  ,       6
11048.5  ,      11
11072.9  ,      11
11097.3  ,       8
11121.7  ,      10
11146.1  ,      10
11170.5  ,      16
11194.9  ,      14
11219.3  ,       8
11243.7  ,       7
11268.1  ,      10
11292.5  ,      18
11316.9  ,      17
11341.3  ,      12
11365.7  ,       9
11390.1  ,      15
11414.5  ,      10
11438.9  ,       5
11463.3  ,      11
11487.7  ,      17
11512.1  ,       9
11536.5  ,      10
11560.9  ,      25
11585.3  ,      23
11609.7  ,      11
11634.1  ,      20
11658.5  ,      22
11682.9  ,      18
11707.3  ,      11
11731.7  ,      15
11756.1  ,      20
11780.5  ,      17
11804.9  ,      21
11829.3  ,      17
11853.7  ,      31
11878.1  ,      27
11902.5  ,      27
11926.9  ,      17
11951.3  ,      32
11975.7  ,      26
12000.1  ,      24
12024.5  ,      26
12048.9  ,      34
12073.3  ,      15
12097.7  ,      17
12122.1  ,      20
12146.5  ,      23
12170.9  ,      15
12195.3  ,      29
12219.7  ,       9
12244.1  ,      13
12268.5  ,      19
12292.9  ,      13
12317.3  ,      18
12341.7  ,      10
12366.1  ,      11
12390.5  ,      10
12414.9  ,      11
12439.3  ,       9
12463.7  ,       9
12488.1  ,      15
12512.5  ,      17
12536.9  ,      20
12561.3  ,      16
12585.7  ,      22
12610.1  ,      20
12634.5  ,      13
12658.9  ,      20
12683.3  ,      18
12707.7  ,      18
12732.1  ,      22
12756.5  ,      21
12780.9  ,      18
12805.3  ,      21
12829.7  ,      16
12854.1  ,      20
12878.5  ,      25
12902.9  ,      30
12927.3  ,      27
12951.7  ,      30
12976.1  ,      41
13000.5  ,      45
13024.9  ,      27
13049.3  ,      29
13073.7  ,      40
13098.1  ,      49
13122.5  ,      52
13146.9  ,      59
13171.3  ,      51
13195.7  ,      51
13220.1  ,      80
13244.5  ,      62
13268.9  ,      75
13293.3  ,      82
13317.7  ,      97
13342.1  ,     100
13366.5  ,     125
13390.9  ,     134
13415.3  ,     142
13439.7  ,     135
13464.1  ,     153
13488.5  ,     152
13512.9  ,     130
13537.3  ,     150
13561.7  ,     150
13586.1  ,     115
13610.5  ,     144
13634.9  ,     134
13659.3  ,     114
13683.7  ,     107
13708.1  ,     103
13732.5  ,      79
13756.9  ,      92
13781.3  ,      60
13805.7  ,      55
13830.1  ,      65
13854.5  ,      77
13878.9  ,      48
13903.3  ,      39
13927.7  ,      55
13952.1  ,      41
13976.5  ,      57
14000.9  ,      65
14025.3  ,      82
14049.7  ,      70
14074.1  ,      93
14098.5  ,     107
14122.9  ,     115
14147.3  ,     148
14171.7  ,     171
14196.1  ,     170
14220.5  ,     199
14244.9  ,     192
14269.3  ,     238
14293.7  ,     202
14318.1  ,     165
14342.5  ,     151
14366.9  ,     133
14391.3  ,     108
14415.7  ,      58
14440.1  ,      46
14464.5  ,      41
14488.9  ,      19
14513.3  ,      25
14537.7  ,       8
14562.1  ,      13
14586.5  ,      15
14610.9  ,      11
14635.3  ,      16
14659.7  ,       7
14684.1  ,      10
14708.5  ,      14
14732.9  ,      13
14757.3  ,       5
14781.7  ,      15
14806.1  ,      13
14830.5  ,      15
14854.9  ,      11
14879.3  ,      11
14903.7  ,      12
14928.1  ,      20
14952.5  ,      22
14976.9  ,      16
15001.3  ,      20
15025.7  ,      19
15050.1  ,      15
15074.5  ,      18
15098.9  ,      13
15123.3  ,      16
15147.7  ,      24
15172.1  ,      11
15196.5  ,      24
15220.9  ,      17
15245.3  ,      14
15269.7  ,      18
15294.1  ,      21
15318.5  ,      30
15342.9  ,      23
15367.3  ,      29
15391.7  ,      22
15416.1  ,      20
15440.5  ,      30
15464.9  ,      30
15489.3  ,      40
15513.7  ,      36
15538.1  ,      64
15562.5  ,      93
15586.9  ,      95
15611.3  ,     139
15635.7  ,     169
15660.1  ,     194
15684.5  ,     251
15708.9  ,     236
15733.3  ,     260
15757.7  ,     257
15782.1  ,     252
15806.5  ,     196
15830.9  ,     174
15855.3  ,     149
15879.7  ,     141
15904.1  ,     108
15928.5  ,      89
15952.9  ,      76
15977.3  ,      69
16001.7  ,      60
16026.1  ,      59
16050.5  ,      53
16074.9  ,      64
16099.4  ,      69
16123.8  ,      65
16148.2  ,      66
16172.6  ,      71
16197.0  ,      62
16221.4  ,      69
16245.8  ,      71
16270.2  ,      75
16294.6  ,      77
16319.0  ,      76
16343.4  ,      90
16367.8  ,      58
16392.2  ,      56
16416.6  ,      73
16441.0  ,      56
16465.4  ,      61
16489.8  ,      63
16514.2  ,      70
16538.6  ,      69
16563.0  ,      71
16587.4  ,      58
16611.8  ,      79
16636.2  ,      83
16660.6  ,     100
16685.0  ,      79
16709.4  ,      86
16733.8  ,      77
16758.2  ,      82
16782.6  ,      92
16807.0  ,     117
16831.4  ,     114
16855.8  ,     130
16880.2  ,     145
16904.6  ,     136
16929.0  ,     168
16953.4  ,     154
16977.8  ,     151
17002.2  ,     156
17026.6  ,     141
17051.0  ,     157
17075.4  ,     186
17099.8  ,     202
17124.2  ,     165
17148.6  ,     173
17173.0  ,     194
17197.4  ,     174
17221.8  ,     171
17246.2  ,     197
17270.6  ,     160
17295.0  ,     169
17319.4  ,     141
17343.8  ,     127
17368.2  ,     140
17392.6  ,     107
17417.0  ,     107
17441.4  ,      98
17465.8  ,      80
17490.2  ,      87
17514.6  ,      72
17539.0  ,      64
17563.4  ,      77
17587.8  ,      85
17612.2  ,      73
17636.6  ,      74
17661.0  ,      85
17685.4  ,      82
17709.8  ,      68
17734.2  ,      49
17758.6  ,      53
17783.0  ,      72
17807.4  ,      62
17831.8  ,      45
17856.2  ,      34
17880.6  ,      26
17905.0  ,      39
17929.4  ,      30
17953.8  ,      36
17978.2  ,      40
18002.6  ,      35
18027.0  ,      31
18051.4  ,      46
18075.8  ,      32
18100.2  ,      52
18124.6  ,      56
18149.0  ,      75
18173.4  ,     101
18197.8  ,     139
18222.2  ,     149
18246.6  ,     136
18271.0  ,     189
18295.4  ,     154
18319.8  ,     149
18344.2  ,     154
18368.6  ,     115
18393.0  ,     101
18417.4  ,      77
18441.8  ,      61
18466.2  ,      48
18490.6  ,      29
18515.0  ,      26
18539.4  ,      24
18563.8  ,      14
18588.2  ,      12
18612.6  ,       6
18637.0  ,      12
18661.4  ,       6
18685.8  ,      12
18710.2  ,       5
18734.6  ,      10
18759.0  ,       9
18783.4  ,      11
18807.8  ,       7
18832.2  ,      14
18856.6  ,       9
18881.0  ,       9
18905.4  ,      13
18929.8  ,      18
18954.2  ,       4
18978.6  ,       8
19003.0  ,       9
19027.4  ,      15
19051.8  ,      16
19076.2  ,       7
19100.6  ,      16
19125.0  ,      13
19149.4  ,      14
19173.8  ,      16
19198.2  ,      10
19222.6  ,      16
19247.0  ,      18
19271.4  ,      18
19295.8  ,       9
19320.2  ,      18
19344.6  ,      25
19369.0  ,      21
19393.4  ,      15
19417.8  ,      31
19442.2  ,      26
19466.6  ,      25
19491.0  ,      25
19515.4  ,      34
19539.8  ,      21
19564.2  ,      44
19588.6  ,      39
19613.0  ,      45
19637.4  ,      22
19661.8  ,      31
19686.2  ,      43
19710.6  ,      50
19735.0  ,      41
19759.4  ,      45
19783.8  ,      41
19808.2  ,      48
19832.6  ,      49
19857.0  ,      39
19881.4  ,      40
19905.8  ,      41
19930.2  ,      56
19954.6  ,      39
19979.0  ,      36
20003.4  ,      43
20027.8  ,      47
20052.2  ,      40
20076.6  ,      31
20101.0  ,      26
20125.4  ,      28
20149.8  ,      27
20174.2  ,      23
20198.6  ,      29
20223.0  ,      30
20247.4  ,      24
20271.8  ,      23
20296.2  ,      20
20320.6  ,      32
20345.0  ,      25
20369.4  ,      21
20393.8  ,      22
20418.2  ,      19
20442.6  ,      18
20467.0  ,      18
20491.4  ,      24
20515.8  ,      23
20540.2  ,      14
20564.6  ,      13
20589.0  ,      20
20613.4  ,      25
20637.8  ,      12
20662.2  ,      29
20686.6  ,      15
20711.0  ,      15
20735.4  ,      13
