"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.14    ,  0.20  
MgO     ,  3.03    ,  0.17  
Al2O3   ,  8.28    ,  0.29  
SiO2    , 61.08    ,  0.96  
P2O5    ,  1.17    ,  0.09  
SO3     ,  9.80    ,  0.28  
Cl      ,  1.01    ,  0.06  
K2O     ,  1.23    ,  0.05  
CaO     ,  6.27    ,  0.13  
TiO2    ,  0.52    ,  0.05  
Cr2O3   ,  0.04    ,  0.03  
MnO     ,  0.15    ,  0.03  
FeO     ,  3.96    ,  0.13  
Ni      ,  0.0005  ,  0.0025
Zn      ,  0.0116  ,  0.0020
Br      ,  0.0111  ,  0.0010
