"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.67    ,  0.14  
MgO     ,  7.89    ,  0.17  
Al2O3   ,  8.70    ,  0.19  
SiO2    , 43.17    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  7.78    ,  0.10  
Cl      ,  1.35    ,  0.03  
K2O     ,  0.68    ,  0.02  
CaO     ,  5.51    ,  0.06  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 19.11    ,  0.20  
Ni      ,  0.0879  ,  0.0045
Zn      ,  0.1534  ,  0.0050
Br      ,  0.0899  ,  0.0030
