"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.40    ,  0.14  
MgO     ,  6.81    ,  0.17  
Al2O3   ,  8.97    ,  0.19  
SiO2    , 47.94    ,  0.54  
P2O5    ,  1.05    ,  0.07  
SO3     ,  5.48    ,  0.12  
Cl      ,  0.81    ,  0.03  
K2O     ,  0.71    ,  0.02  
CaO     ,  3.52    ,  0.06  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.31    ,  0.03  
FeO     , 20.14    ,  0.26  
Ni      ,  0.0890  ,  0.0045
Zn      ,  0.1595  ,  0.0050
Br      ,  0.0396  ,  0.0015
