"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.47    ,  0.14  
MgO     ,  6.97    ,  0.17  
Al2O3   ,  8.16    ,  0.19  
SiO2    , 37.82    ,  0.43  
P2O5    ,  1.47    ,  0.09  
SO3     , 10.63    ,  0.12  
Cl      ,  1.76    ,  0.03  
K2O     ,  0.48    ,  0.02  
CaO     ,  7.02    ,  0.08  
TiO2    ,  0.84    ,  0.03  
Cr2O3   ,  0.17    ,  0.01  
MnO     ,  0.60    ,  0.01  
FeO     , 21.28    ,  0.26  
Ni      ,  0.0375  ,  0.0020
Zn      ,  0.2022  ,  0.0065
Br      ,  0.0356  ,  0.0015
