"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.33    ,  0.14  
MgO     ,  6.73    ,  0.17  
Al2O3   ,  8.84    ,  0.19  
SiO2    , 47.99    ,  0.54  
P2O5    ,  1.05    ,  0.07  
SO3     ,  5.41    ,  0.10  
Cl      ,  0.83    ,  0.03  
K2O     ,  0.75    ,  0.02  
CaO     ,  3.56    ,  0.04  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.29    ,  0.01  
FeO     , 20.37    ,  0.26  
Ni      ,  0.0898  ,  0.0045
Zn      ,  0.1606  ,  0.0050
Br      ,  0.0518  ,  0.0020
