"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.29    ,  0.14  
MgO     ,  8.58    ,  0.25  
Al2O3   ,  9.36    ,  0.19  
SiO2    , 41.85    ,  0.43  
P2O5    ,  0.69    ,  0.05  
SO3     ,  4.79    ,  0.08  
Cl      ,  1.04    ,  0.02  
K2O     ,  0.96    ,  0.04  
CaO     ,  6.23    ,  0.07  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.49    ,  0.01  
FeO     , 21.25    ,  0.26  
Ni      ,  0.0387  ,  0.0020
Zn      ,  0.0407  ,  0.0015
Br      ,  0.0056  ,  0.0005
