"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.46    ,  0.14  
MgO     ,  4.57    ,  0.17  
Al2O3   ,  8.94    ,  0.19  
SiO2    , 49.54    ,  0.54  
P2O5    ,  1.24    ,  0.07  
SO3     ,  5.31    ,  0.10  
Cl      ,  1.09    ,  0.03  
K2O     ,  0.87    ,  0.04  
CaO     ,  4.23    ,  0.06  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 19.78    ,  0.26  
Ni      ,  0.1050  ,  0.0055
Zn      ,  0.1267  ,  0.0040
Br      ,  0.0186  ,  0.0010
