"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.14    ,  0.07  
MgO     ,  9.44    ,  0.25  
Al2O3   ,  8.70    ,  0.19  
SiO2    , 42.91    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  4.04    ,  0.05  
Cl      ,  1.54    ,  0.02  
K2O     ,  2.43    ,  0.08  
CaO     ,  5.85    ,  0.07  
TiO2    ,  0.91    ,  0.03  
Cr2O3   ,  0.51    ,  0.01  
MnO     ,  0.20    ,  0.01  
FeO     , 20.43    ,  0.26  
Ni      ,  0.0198  ,  0.0010
Zn      ,  0.0785  ,  0.0025
Br      ,  0.0096  ,  0.0005
