"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  7.20    ,  0.17  
Al2O3   ,  8.11    ,  0.19  
SiO2    , 43.81    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     ,  5.54    ,  0.10  
Cl      ,  0.89    ,  0.03  
K2O     ,  0.72    ,  0.02  
CaO     ,  4.53    ,  0.06  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 23.44    ,  0.26  
Ni      ,  0.0912  ,  0.0050
Zn      ,  0.1449  ,  0.0045
Br      ,  0.1396  ,  0.0045
