"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.68    ,  0.20  
MgO     ,  5.92    ,  0.25  
Al2O3   ,  9.68    ,  0.29  
SiO2    , 51.52    ,  0.75  
P2O5    ,  1.05    ,  0.09  
SO3     ,  4.74    ,  0.20  
Cl      ,  1.22    ,  0.06  
K2O     ,  1.00    ,  0.05  
CaO     ,  2.94    ,  0.08  
TiO2    ,  0.86    ,  0.09  
Cr2O3   ,  0.32    ,  0.05  
MnO     ,  0.13    ,  0.03  
FeO     , 17.64    ,  0.20  
Ni      ,  0.0871  ,  0.0070
Zn      ,  0.0645  ,  0.0040
Br      ,  0.0105  ,  0.0015
