"Target: Haroldswick_Raster2, Contains DAT files: APB_568047219ESC19210671762_______M1.DAT"
  483.7  ,     810
  508.1  ,       0
  532.5  ,       0
  556.9  ,       0
  581.2  ,       0
  605.6  ,     111
  630.0  ,       0
  654.4  ,       9
  678.8  ,     146
  703.2  ,     143
  727.6  ,     167
  751.9  ,     148
  776.3  ,     132
  800.7  ,     160
  825.1  ,     155
  849.5  ,     149
  873.9  ,     198
  898.3  ,     142
  922.6  ,     183
  947.0  ,     256
  971.4  ,     354
  995.8  ,     488
 1020.2  ,     526
 1044.6  ,     517
 1069.0  ,     483
 1093.3  ,     340
 1117.7  ,     329
 1142.1  ,     379
 1166.5  ,     533
 1190.9  ,     834
 1215.3  ,    1257
 1239.7  ,    1398
 1264.0  ,    1288
 1288.4  ,     998
 1312.8  ,     644
 1337.2  ,     518
 1361.6  ,     565
 1386.0  ,     832
 1410.4  ,    1493
 1434.7  ,    2279
 1459.1  ,    2901
 1483.5  ,    3099
 1507.9  ,    2520
 1532.3  ,    1797
 1556.7  ,    1190
 1581.0  ,     969
 1605.4  ,    1224
 1629.8  ,    2245
 1654.2  ,    4506
 1678.6  ,    7479
 1703.0  ,   10483
 1727.4  ,   11941
 1751.7  ,   10882
 1776.1  ,    7959
 1800.5  ,    4777
 1824.9  ,    2371
 1849.3  ,    1168
 1873.7  ,     600
 1898.1  ,     350
 1922.4  ,     242
 1946.8  ,     207
 1971.2  ,     230
 1995.6  ,     225
 2020.0  ,     213
 2044.4  ,     172
 2068.8  ,     128
 2093.1  ,      96
 2117.5  ,      83
 2141.9  ,      90
 2166.3  ,      95
 2190.7  ,     146
 2215.1  ,     190
 2239.5  ,     287
 2263.8  ,     440
 2288.2  ,     532
 2312.6  ,     490
 2337.0  ,     384
 2361.4  ,     258
 2385.8  ,     169
 2410.2  ,     113
 2434.5  ,      96
 2458.9  ,      69
 2483.3  ,      77
 2507.7  ,      84
 2532.1  ,     136
 2556.5  ,     168
 2580.9  ,     203
 2605.2  ,     272
 2629.6  ,     231
 2654.0  ,     188
 2678.4  ,     156
 2702.8  ,     101
 2727.2  ,      59
 2751.6  ,      46
 2775.9  ,      32
 2800.3  ,      49
 2824.7  ,      41
 2849.1  ,      43
 2873.5  ,      43
 2897.9  ,      47
 2922.3  ,      39
 2946.6  ,      34
 2971.0  ,      49
 2995.4  ,      24
 3019.8  ,      34
 3044.2  ,      31
 3068.6  ,      31
 3093.0  ,      20
 3117.3  ,      20
 3141.7  ,      31
 3166.1  ,      37
 3190.5  ,      47
 3214.9  ,      72
 3239.3  ,     105
 3263.7  ,     143
 3288.0  ,     174
 3312.4  ,     181
 3336.8  ,     160
 3361.2  ,     122
 3385.6  ,      82
 3410.0  ,      50
 3434.3  ,      47
 3458.7  ,      50
 3483.1  ,      37
 3507.5  ,      44
 3531.9  ,      60
 3556.3  ,      93
 3580.7  ,     140
 3605.0  ,     201
 3629.4  ,     273
 3653.8  ,     347
 3678.2  ,     353
 3702.6  ,     322
 3727.0  ,     271
 3751.4  ,     181
 3775.7  ,      94
 3800.1  ,      64
 3824.5  ,      31
 3848.9  ,      35
 3873.3  ,      24
 3897.7  ,      23
 3922.1  ,      41
 3946.4  ,      28
 3970.8  ,      58
 3995.2  ,      61
 4019.6  ,      49
 4044.0  ,      54
 4068.4  ,      31
 4092.8  ,      22
 4117.1  ,      31
 4141.5  ,      25
 4165.9  ,      40
 4190.3  ,      18
 4214.7  ,      14
 4239.1  ,      17
 4263.5  ,      18
 4287.8  ,      23
 4312.2  ,      27
 4336.6  ,      19
 4361.0  ,      35
 4385.4  ,      34
 4409.8  ,      54
 4434.2  ,      68
 4458.5  ,      95
 4482.9  ,     102
 4507.3  ,     108
 4531.7  ,      77
 4556.1  ,      74
 4580.5  ,      66
 4604.9  ,      49
 4629.2  ,      40
 4653.6  ,      31
 4678.0  ,      27
 4702.4  ,      28
 4726.8  ,      22
 4751.2  ,      18
 4775.6  ,      26
 4799.9  ,      19
 4824.3  ,      29
 4848.7  ,      27
 4873.1  ,      27
 4897.5  ,      36
 4921.9  ,      28
 4946.3  ,      34
 4970.6  ,      27
 4995.0  ,      26
 5019.4  ,      27
 5043.8  ,      19
 5068.2  ,      20
 5092.6  ,      23
 5117.0  ,      20
 5141.3  ,      17
 5165.7  ,      17
 5190.1  ,      17
 5214.5  ,      23
 5238.9  ,      22
 5263.3  ,      29
 5287.6  ,      31
 5312.0  ,      48
 5336.4  ,      59
 5360.8  ,      62
 5385.2  ,      60
 5409.6  ,      52
 5434.0  ,      53
 5458.3  ,      44
 5482.7  ,      29
 5507.1  ,      27
 5531.5  ,      26
 5555.9  ,      19
 5580.3  ,      17
 5604.7  ,      24
 5629.0  ,      17
 5653.4  ,      26
 5677.8  ,      21
 5702.2  ,      27
 5726.6  ,      26
 5751.0  ,      38
 5775.4  ,      30
 5799.7  ,      35
 5824.1  ,      54
 5848.5  ,      66
 5872.9  ,      67
 5897.3  ,      59
 5921.7  ,      54
 5946.1  ,      60
 5970.4  ,      71
 5994.8  ,      57
 6019.2  ,      55
 6043.6  ,      56
 6068.0  ,      54
 6092.4  ,      64
 6116.8  ,      74
 6141.1  ,      82
 6165.5  ,     121
 6189.9  ,     214
 6214.3  ,     381
 6238.7  ,     684
 6263.1  ,    1240
 6287.5  ,    2022
 6311.8  ,    3013
 6336.2  ,    3796
 6360.6  ,    4638
 6385.0  ,    4771
 6409.4  ,    4335
 6433.8  ,    3590
 6458.2  ,    2570
 6482.5  ,    1612
 6506.9  ,     976
 6531.3  ,     485
 6555.7  ,     212
 6580.1  ,      87
 6604.5  ,      48
 6628.9  ,      28
 6653.2  ,      28
 6677.6  ,      25
 6702.0  ,      19
 6726.4  ,      38
 6750.8  ,      24
 6775.2  ,      42
 6799.6  ,      43
 6823.9  ,      48
 6848.3  ,      76
 6872.7  ,      99
 6897.1  ,     157
 6921.5  ,     242
 6945.9  ,     414
 6970.3  ,     537
 6994.6  ,     613
 7019.0  ,     780
 7043.4  ,     711
 7067.8  ,     638
 7092.2  ,     523
 7116.6  ,     418
 7141.0  ,     274
 7165.3  ,     155
 7189.7  ,      69
 7214.1  ,      45
 7238.5  ,      35
 7262.9  ,      18
 7287.3  ,      17
 7311.6  ,      14
 7336.0  ,       9
 7360.4  ,      29
 7384.8  ,      30
 7409.2  ,      32
 7433.6  ,      41
 7458.0  ,      48
 7482.3  ,      45
 7506.7  ,      33
 7531.1  ,      18
 7555.5  ,      15
 7579.9  ,      20
 7604.3  ,      11
 7628.7  ,       7
 7653.0  ,       9
 7677.4  ,       1
 7701.8  ,       9
 7726.2  ,       8
 7750.6  ,       9
 7775.0  ,       7
 7799.4  ,       9
 7823.7  ,       9
 7848.1  ,       7
 7872.5  ,      11
 7896.9  ,       8
 7921.3  ,       4
 7945.7  ,       5
 7970.1  ,      10
 7994.4  ,       7
 8018.8  ,       8
 8043.2  ,      14
 8067.6  ,      14
 8092.0  ,       7
 8116.4  ,       9
 8140.8  ,      10
 8165.1  ,      12
 8189.5  ,       8
 8213.9  ,      13
 8238.3  ,       6
 8262.7  ,       9
 8287.1  ,      10
 8311.5  ,      14
 8335.8  ,       9
 8360.2  ,       8
 8384.6  ,       9
 8409.0  ,       7
 8433.4  ,      10
 8457.8  ,      18
 8482.2  ,      26
 8506.5  ,      24
 8530.9  ,      42
 8555.3  ,      29
 8579.7  ,      56
 8604.1  ,      51
 8628.5  ,      48
 8652.9  ,      46
 8677.2  ,      27
 8701.6  ,      31
 8726.0  ,      26
 8750.4  ,      12
 8774.8  ,      15
 8799.2  ,       9
 8823.6  ,       8
 8847.9  ,       4
 8872.3  ,       6
 8896.7  ,       6
 8921.1  ,       4
 8945.5  ,       8
 8969.9  ,      18
 8994.3  ,       6
 9018.6  ,       5
 9043.0  ,       7
 9067.4  ,       7
 9091.8  ,       8
 9116.2  ,       5
 9140.6  ,       7
 9164.9  ,       9
 9189.3  ,      14
 9213.7  ,       9
 9238.1  ,      11
 9262.5  ,      10
 9286.9  ,       5
 9311.3  ,      11
 9335.6  ,       7
 9360.0  ,       7
 9384.4  ,       7
 9408.8  ,       9
 9433.2  ,       9
 9457.6  ,      10
 9482.0  ,      10
 9506.3  ,      14
 9530.7  ,      18
 9555.1  ,      20
 9579.5  ,      10
 9603.9  ,      10
 9628.3  ,       9
 9652.7  ,      13
 9677.0  ,       6
 9701.4  ,      11
 9725.8  ,      13
 9750.2  ,      20
 9774.6  ,      11
 9799.0  ,      17
 9823.4  ,       7
 9847.7  ,      20
 9872.1  ,      17
 9896.5  ,      20
 9920.9  ,      12
 9945.3  ,      11
 9969.7  ,      12
 9994.1  ,      13
10018.4  ,       4
10042.8  ,       8
10067.2  ,       8
10091.6  ,       3
10116.0  ,       4
10140.4  ,       6
10164.8  ,       2
10189.1  ,       7
10213.5  ,      10
10237.9  ,       7
10262.3  ,       6
10286.7  ,       6
10311.1  ,       7
10335.5  ,       6
10359.8  ,       6
10384.2  ,       8
10408.6  ,       5
10433.0  ,       8
10457.4  ,       7
10481.8  ,      11
10506.2  ,      11
10530.5  ,       9
10554.9  ,       7
10579.3  ,       7
10603.7  ,       4
10628.1  ,       6
10652.5  ,       5
10676.9  ,       6
10701.2  ,      13
10725.6  ,       6
10750.0  ,       6
10774.4  ,      10
10798.8  ,       3
10823.2  ,       5
10847.6  ,       8
10871.9  ,       9
10896.3  ,       5
10920.7  ,       3
10945.1  ,       7
10969.5  ,       6
10993.9  ,       7
11018.2  ,       8
11042.6  ,       5
11067.0  ,      11
11091.4  ,       6
11115.8  ,      12
11140.2  ,       2
11164.6  ,      11
11188.9  ,       7
11213.3  ,      11
11237.7  ,      15
11262.1  ,       8
11286.5  ,       7
11310.9  ,       9
11335.3  ,      13
11359.6  ,       9
11384.0  ,       7
11408.4  ,      13
11432.8  ,      12
11457.2  ,      15
11481.6  ,      11
11506.0  ,       3
11530.3  ,      10
11554.7  ,       6
11579.1  ,      11
11603.5  ,      16
11627.9  ,      13
11652.3  ,      12
11676.7  ,      12
11701.0  ,      24
11725.4  ,      16
11749.8  ,      18
11774.2  ,      14
11798.6  ,      17
11823.0  ,      25
11847.4  ,      21
11871.7  ,      26
11896.1  ,      32
11920.5  ,      28
11944.9  ,      27
11969.3  ,      27
11993.7  ,      18
12018.1  ,      25
12042.4  ,      22
12066.8  ,      23
12091.2  ,      18
12115.6  ,      25
12140.0  ,      32
12164.4  ,      18
12188.8  ,      17
12213.1  ,      22
12237.5  ,      11
12261.9  ,      16
12286.3  ,       8
12310.7  ,      11
12335.1  ,      10
12359.5  ,       9
12383.8  ,       7
12408.2  ,      15
12432.6  ,      13
12457.0  ,       5
12481.4  ,      14
12505.8  ,      10
12530.2  ,      11
12554.5  ,      13
12578.9  ,       7
12603.3  ,      16
12627.7  ,      15
12652.1  ,      15
12676.5  ,       6
12700.9  ,      17
12725.2  ,      21
12749.6  ,      12
12774.0  ,      18
12798.4  ,      13
12822.8  ,      19
12847.2  ,      19
12871.6  ,      18
12895.9  ,      15
12920.3  ,      23
12944.7  ,      18
12969.1  ,      18
12993.5  ,      26
13017.9  ,      32
13042.2  ,      26
13066.6  ,      33
13091.0  ,      30
13115.4  ,      42
13139.8  ,      49
13164.2  ,      33
13188.6  ,      63
13212.9  ,      64
13237.3  ,      66
13261.7  ,      69
13286.1  ,      76
13310.5  ,      97
13334.9  ,     112
13359.3  ,      98
13383.6  ,      80
13408.0  ,     117
13432.4  ,      94
13456.8  ,     128
13481.2  ,     108
13505.6  ,     106
13530.0  ,     115
13554.3  ,     107
13578.7  ,     126
13603.1  ,     104
13627.5  ,      89
13651.9  ,      95
13676.3  ,      80
13700.7  ,      84
13725.0  ,      75
13749.4  ,      60
13773.8  ,      79
13798.2  ,      50
13822.6  ,      50
13847.0  ,      43
13871.4  ,      37
13895.7  ,      44
13920.1  ,      43
13944.5  ,      35
13968.9  ,      33
13993.3  ,      32
14017.7  ,      53
14042.1  ,      74
14066.4  ,      60
14090.8  ,      76
14115.2  ,      91
14139.6  ,     111
14164.0  ,     123
14188.4  ,     156
14212.8  ,     140
14237.1  ,     158
14261.5  ,     189
14285.9  ,     161
14310.3  ,     157
14334.7  ,     132
14359.1  ,     119
14383.5  ,      84
14407.8  ,      70
14432.2  ,      46
14456.6  ,      30
14481.0  ,      25
14505.4  ,      17
14529.8  ,      14
14554.2  ,      15
14578.5  ,      10
14602.9  ,      12
14627.3  ,      11
14651.7  ,      10
14676.1  ,       8
14700.5  ,      14
14724.9  ,      11
14749.2  ,      12
14773.6  ,       9
14798.0  ,      14
14822.4  ,      13
14846.8  ,      15
14871.2  ,      16
14895.5  ,      20
14919.9  ,      13
14944.3  ,      16
14968.7  ,      21
14993.1  ,      16
15017.5  ,      16
15041.9  ,      14
15066.2  ,      16
15090.6  ,      14
15115.0  ,      20
15139.4  ,      16
15163.8  ,      10
15188.2  ,       9
15212.6  ,      14
15236.9  ,      19
15261.3  ,      11
15285.7  ,      23
15310.1  ,      23
15334.5  ,      20
15358.9  ,      22
15383.3  ,      17
15407.6  ,      21
15432.0  ,      18
15456.4  ,      36
15480.8  ,      37
15505.2  ,      41
15529.6  ,      51
15554.0  ,      58
15578.3  ,      86
15602.7  ,     107
15627.1  ,     137
15651.5  ,     174
15675.9  ,     148
15700.3  ,     210
15724.7  ,     241
15749.0  ,     221
15773.4  ,     221
15797.8  ,     203
15822.2  ,     186
15846.6  ,     146
15871.0  ,     108
15895.4  ,      93
15919.7  ,      82
15944.1  ,      53
15968.5  ,      45
15992.9  ,      44
16017.3  ,      51
16041.7  ,      43
16066.1  ,      39
16090.4  ,      43
16114.8  ,      51
16139.2  ,      67
16163.6  ,      42
16188.0  ,      49
16212.4  ,      56
16236.8  ,      53
16261.1  ,      47
16285.5  ,      69
16309.9  ,      42
16334.3  ,      63
16358.7  ,      66
16383.1  ,      64
16407.5  ,      60
16431.8  ,      61
16456.2  ,      67
16480.6  ,      40
16505.0  ,      52
16529.4  ,      47
16553.8  ,      57
16578.2  ,      34
16602.5  ,      51
16626.9  ,      59
16651.3  ,      56
16675.7  ,      63
16700.1  ,      66
16724.5  ,      60
16748.9  ,      75
16773.2  ,      86
16797.6  ,      82
16822.0  ,     106
16846.4  ,      81
16870.8  ,     113
16895.2  ,     134
16919.5  ,     131
16943.9  ,     115
16968.3  ,     159
16992.7  ,     124
17017.1  ,     147
17041.5  ,     148
17065.9  ,     159
17090.2  ,     132
17114.6  ,     142
17139.0  ,     141
17163.4  ,     131
17187.8  ,     159
17212.2  ,     134
17236.6  ,     148
17260.9  ,     141
17285.3  ,     131
17309.7  ,     121
17334.1  ,     107
17358.5  ,     102
17382.9  ,      95
17407.3  ,      91
17431.6  ,      75
17456.0  ,      65
17480.4  ,      82
17504.8  ,      73
17529.2  ,      64
17553.6  ,      69
17578.0  ,      68
17602.3  ,      58
17626.7  ,      65
17651.1  ,      76
17675.5  ,      64
17699.9  ,      67
17724.3  ,      52
17748.7  ,      60
17773.0  ,      41
17797.4  ,      34
17821.8  ,      30
17846.2  ,      34
17870.6  ,      23
17895.0  ,      33
17919.4  ,      35
17943.7  ,      32
17968.1  ,      27
17992.5  ,      38
18016.9  ,      29
18041.3  ,      26
18065.7  ,      33
18090.1  ,      31
18114.4  ,      37
18138.8  ,      63
18163.2  ,      91
18187.6  ,      79
18212.0  ,     110
18236.4  ,     119
18260.8  ,     121
18285.1  ,     116
18309.5  ,     129
18333.9  ,     120
18358.3  ,      97
18382.7  ,      81
18407.1  ,      75
18431.5  ,      45
18455.8  ,      40
18480.2  ,      27
18504.6  ,      26
18529.0  ,      13
18553.4  ,       7
18577.8  ,       7
18602.2  ,      16
18626.5  ,      10
18650.9  ,      14
18675.3  ,      10
18699.7  ,       8
18724.1  ,       2
18748.5  ,      11
18772.8  ,       9
18797.2  ,      15
18821.6  ,       8
18846.0  ,      12
18870.4  ,      11
18894.8  ,       5
18919.2  ,      12
18943.5  ,      13
18967.9  ,      14
18992.3  ,       9
19016.7  ,      10
19041.1  ,       8
19065.5  ,      11
19089.9  ,      14
19114.2  ,      12
19138.6  ,      13
19163.0  ,      11
19187.4  ,      10
19211.8  ,      21
19236.2  ,      12
19260.6  ,      15
19284.9  ,      19
19309.3  ,      14
19333.7  ,      11
19358.1  ,      14
19382.5  ,      17
19406.9  ,      17
19431.3  ,      19
19455.6  ,      19
19480.0  ,      25
19504.4  ,      22
19528.8  ,      29
19553.2  ,      27
19577.6  ,      33
19602.0  ,      26
19626.3  ,      33
19650.7  ,      29
19675.1  ,      32
19699.5  ,      29
19723.9  ,      39
19748.3  ,      32
19772.7  ,      48
19797.0  ,      46
19821.4  ,      40
19845.8  ,      41
19870.2  ,      46
19894.6  ,      39
19919.0  ,      40
19943.4  ,      33
19967.7  ,      35
19992.1  ,      34
20016.5  ,      24
20040.9  ,      30
20065.3  ,      31
20089.7  ,      32
20114.1  ,      20
20138.4  ,      30
20162.8  ,      25
20187.2  ,      27
20211.6  ,      22
20236.0  ,      27
20260.4  ,      21
20284.8  ,      21
20309.1  ,       8
20333.5  ,      25
20357.9  ,      18
20382.3  ,      23
20406.7  ,      19
20431.1  ,      15
20455.5  ,      21
20479.8  ,      16
20504.2  ,      18
20528.6  ,      14
20553.0  ,      13
20577.4  ,       6
20601.8  ,      17
20626.1  ,       8
20650.5  ,      15
20674.9  ,      14
20699.3  ,      12
20723.7  ,      13
20748.1  ,      14
20772.5  ,       9
20796.8  ,       7
20821.2  ,       9
20845.6  ,       7
20870.0  ,      10
20894.4  ,      10
20918.8  ,      17
20943.2  ,       7
20967.5  ,       3
20991.9  ,       5
21016.3  ,       4
21040.7  ,       7
21065.1  ,       5
21089.5  ,       5
21113.9  ,       5
21138.2  ,      10
21162.6  ,       5
21187.0  ,      12
21211.4  ,      10
21235.8  ,      11
21260.2  ,      14
21284.6  ,      21
21308.9  ,      16
21333.3  ,      19
21357.7  ,      25
21382.1  ,      26
21406.5  ,      30
21430.9  ,      20
21455.3  ,      19
21479.6  ,      25
21504.0  ,      24
21528.4  ,      26
21552.8  ,      12
21577.2  ,      12
21601.6  ,      14
21626.0  ,       6
21650.3  ,       3
21674.7  ,       7
21699.1  ,       9
21723.5  ,       2
21747.9  ,       3
21772.3  ,       6
21796.7  ,       0
21821.0  ,       3
21845.4  ,       7
21869.8  ,       1
21894.2  ,       4
21918.6  ,       6
21943.0  ,       5
21967.4  ,       6
21991.7  ,       2
22016.1  ,       4
22040.5  ,       9
22064.9  ,       5
22089.3  ,       7
22113.7  ,       7
22138.1  ,       6
22162.4  ,       5
22186.8  ,       8
22211.2  ,       9
22235.6  ,       2
22260.0  ,       5
22284.4  ,       4
22308.8  ,       3
22333.1  ,       4
22357.5  ,       2
22381.9  ,       9
22406.3  ,       3
22430.7  ,       2
22455.1  ,       1
22479.5  ,       3
22503.8  ,       5
22528.2  ,       1
22552.6  ,       0
22577.0  ,       2
22601.4  ,       6
22625.8  ,       3
22650.1  ,       3
22674.5  ,       5
22698.9  ,       5
22723.3  ,       1
22747.7  ,       2
22772.1  ,       3
22796.5  ,       1
22820.8  ,       1
22845.2  ,       1
22869.6  ,       1
22894.0  ,       1
22918.4  ,       2
22942.8  ,       2
22967.2  ,       3
22991.5  ,       6
23015.9  ,       3
23040.3  ,       4
23064.7  ,       4
23089.1  ,       4
23113.5  ,       5
23137.9  ,       0
23162.2  ,       3
23186.6  ,       1
23211.0  ,       2
23235.4  ,       0
23259.8  ,       0
23284.2  ,       1
23308.6  ,       0
23332.9  ,       2
23357.3  ,       1
23381.7  ,       2
23406.1  ,       3
23430.5  ,       2
23454.9  ,       0
23479.3  ,       3
23503.6  ,       5
23528.0  ,       3
23552.4  ,       2
23576.8  ,       2
23601.2  ,       6
23625.6  ,       2
23650.0  ,       5
23674.3  ,       3
23698.7  ,       4
23723.1  ,       3
23747.5  ,       4
23771.9  ,       4
23796.3  ,       2
23820.7  ,       2
23845.0  ,       2
23869.4  ,       6
23893.8  ,       4
23918.2  ,       4
23942.6  ,       2
23967.0  ,       0
23991.4  ,       3
24015.7  ,       2
24040.1  ,       0
24064.5  ,       8
24088.9  ,       4
24113.3  ,       3
24137.7  ,       5
24162.1  ,       1
24186.4  ,       2
24210.8  ,       5
24235.2  ,       2
24259.6  ,       7
24284.0  ,       3
24308.4  ,       6
24332.8  ,       7
24357.1  ,       2
24381.5  ,       7
24405.9  ,       3
24430.3  ,       2
24454.7  ,       0
24479.1  ,       3
24503.4  ,       3
24527.8  ,       5
24552.2  ,       2
24576.6  ,       4
24601.0  ,       1
24625.4  ,       5
24649.8  ,       5
24674.1  ,       3
24698.5  ,       4
24722.9  ,       2
24747.3  ,       3
24771.7  ,       1
24796.1  ,       1
24820.5  ,       5
24844.8  ,       2
24869.2  ,       3
24893.6  ,       3
24918.0  ,       3
24942.4  ,       3
24966.8  ,       6
24991.2  ,       2
25015.5  ,       1
25039.9  ,       2
25064.3  ,       7
25088.7  ,       0
25113.1  ,       3
25137.5  ,       4
25161.9  ,       7
25186.2  ,       4
25210.6  ,       1
25235.0  ,       1
25259.4  ,       4
25283.8  ,       2
