"Target: Haroldswick_Raster3, Contains DAT files: APB_568048491ESC19210671762_______M1.DAT"
  481.7  ,     788
  506.1  ,       0
  530.5  ,       0
  554.9  ,       0
  579.2  ,       0
  603.6  ,     111
  628.0  ,       0
  652.4  ,      12
  676.8  ,     120
  701.2  ,     117
  725.5  ,     106
  749.9  ,      97
  774.3  ,     104
  798.7  ,     111
  823.1  ,     111
  847.5  ,     100
  871.8  ,     115
  896.2  ,     108
  920.6  ,     138
  945.0  ,     160
  969.4  ,     231
  993.8  ,     281
 1018.1  ,     366
 1042.5  ,     353
 1066.9  ,     280
 1091.3  ,     247
 1115.7  ,     185
 1140.1  ,     216
 1164.4  ,     362
 1188.8  ,     573
 1213.2  ,     904
 1237.6  ,    1027
 1262.0  ,     956
 1286.4  ,     725
 1310.7  ,     486
 1335.1  ,     312
 1359.5  ,     340
 1383.9  ,     501
 1408.3  ,     855
 1432.7  ,    1404
 1457.0  ,    1869
 1481.4  ,    2000
 1505.8  ,    1717
 1530.2  ,    1204
 1554.6  ,     722
 1579.0  ,     562
 1603.3  ,     637
 1627.7  ,    1268
 1652.1  ,    2437
 1676.5  ,    4485
 1700.9  ,    6501
 1725.3  ,    7573
 1749.6  ,    6823
 1774.0  ,    4970
 1798.4  ,    2907
 1822.8  ,    1503
 1847.2  ,     752
 1871.6  ,     359
 1895.9  ,     213
 1920.3  ,     165
 1944.7  ,     135
 1969.1  ,     130
 1993.5  ,     145
 2017.9  ,     149
 2042.2  ,     140
 2066.6  ,      90
 2091.0  ,      71
 2115.4  ,      61
 2139.8  ,      65
 2164.2  ,      65
 2188.5  ,      73
 2212.9  ,     109
 2237.3  ,     151
 2261.7  ,     236
 2286.1  ,     251
 2310.5  ,     280
 2334.8  ,     211
 2359.2  ,     165
 2383.6  ,     109
 2408.0  ,      56
 2432.4  ,      62
 2456.8  ,      53
 2481.1  ,      58
 2505.5  ,      41
 2529.9  ,      71
 2554.3  ,      91
 2578.7  ,     111
 2603.1  ,     143
 2627.4  ,     165
 2651.8  ,     132
 2676.2  ,      75
 2700.6  ,      53
 2725.0  ,      44
 2749.4  ,      32
 2773.7  ,      34
 2798.1  ,      23
 2822.5  ,      24
 2846.9  ,      31
 2871.3  ,      29
 2895.7  ,      29
 2920.0  ,      38
 2944.4  ,      26
 2968.8  ,      29
 2993.2  ,      34
 3017.6  ,      30
 3042.0  ,      24
 3066.3  ,      16
 3090.7  ,      21
 3115.1  ,      18
 3139.5  ,      10
 3163.9  ,      22
 3188.3  ,      17
 3212.6  ,      47
 3237.0  ,      73
 3261.4  ,      81
 3285.8  ,      70
 3310.2  ,      81
 3334.6  ,      91
 3358.9  ,      62
 3383.3  ,      51
 3407.7  ,      46
 3432.1  ,      30
 3456.5  ,      30
 3480.9  ,      27
 3505.2  ,      29
 3529.6  ,      45
 3554.0  ,      75
 3578.4  ,      99
 3602.8  ,     172
 3627.2  ,     261
 3651.5  ,     327
 3675.9  ,     305
 3700.3  ,     288
 3724.7  ,     229
 3749.1  ,     161
 3773.5  ,      85
 3797.8  ,      63
 3822.2  ,      30
 3846.6  ,      16
 3871.0  ,      21
 3895.4  ,      21
 3919.8  ,      42
 3944.1  ,      37
 3968.5  ,      49
 3992.9  ,      41
 4017.3  ,      61
 4041.7  ,      35
 4066.1  ,      48
 4090.4  ,      34
 4114.8  ,      24
 4139.2  ,      19
 4163.6  ,      23
 4188.0  ,      18
 4212.4  ,      17
 4236.7  ,      10
 4261.1  ,      17
 4285.5  ,      16
 4309.9  ,      15
 4334.3  ,      14
 4358.7  ,      26
 4383.0  ,      18
 4407.4  ,      39
 4431.8  ,      50
 4456.2  ,      72
 4480.6  ,      78
 4505.0  ,      86
 4529.3  ,      65
 4553.7  ,      55
 4578.1  ,      38
 4602.5  ,      39
 4626.9  ,      27
 4651.3  ,      25
 4675.6  ,      29
 4700.0  ,      28
 4724.4  ,      21
 4748.8  ,      21
 4773.2  ,      11
 4797.6  ,      18
 4821.9  ,      13
