"Target: Haroldswick_Raster4, Contains DAT files: APB_568049766ESC19210671762_______M1.DAT"
 7433.0  ,      49
 7457.4  ,      65
 7481.7  ,      58
 7506.1  ,      41
 7530.5  ,      36
 7554.9  ,      23
 7579.3  ,      19
 7603.7  ,      11
 7628.0  ,       6
 7652.4  ,       6
 7676.8  ,      11
 7701.2  ,       8
 7725.6  ,      11
 7750.0  ,       8
 7774.3  ,       7
 7798.7  ,       7
 7823.1  ,       9
 7847.5  ,      14
 7871.9  ,       8
 7896.3  ,      10
 7920.7  ,      13
 7945.0  ,      15
 7969.4  ,      17
 7993.8  ,      15
 8018.2  ,      12
 8042.6  ,      13
 8067.0  ,      13
 8091.3  ,       5
 8115.7  ,      13
 8140.1  ,      12
 8164.5  ,      14
 8188.9  ,      15
 8213.3  ,      13
 8237.6  ,      18
 8262.0  ,      22
 8286.4  ,      15
 8310.8  ,      12
 8335.2  ,       9
 8359.6  ,       4
 8383.9  ,      19
 8408.3  ,      15
 8432.7  ,      11
 8457.1  ,      12
 8481.5  ,      19
 8505.9  ,      26
 8530.2  ,      33
 8554.6  ,      41
 8579.0  ,      52
 8603.4  ,      64
 8627.8  ,      42
 8652.2  ,      43
 8676.5  ,      22
 8700.9  ,      40
 8725.3  ,      29
 8749.7  ,      16
 8774.1  ,      10
 8798.5  ,       8
 8822.9  ,       5
 8847.2  ,       6
 8871.6  ,       9
 8896.0  ,       5
 8920.4  ,       7
 8944.8  ,       5
 8969.2  ,       8
 8993.5  ,       8
 9017.9  ,       8
 9042.3  ,       9
 9066.7  ,       7
 9091.1  ,       9
 9115.5  ,      16
 9139.8  ,      11
 9164.2  ,      11
 9188.6  ,       6
 9213.0  ,       5
 9237.4  ,      10
 9261.8  ,      14
 9286.1  ,       8
 9310.5  ,      10
 9334.9  ,       9
 9359.3  ,       4
 9383.7  ,       3
 9408.1  ,      13
 9432.4  ,      10
 9456.8  ,      10
 9481.2  ,      16
 9505.6  ,      15
 9530.0  ,      19
 9554.4  ,      20
 9578.7  ,      23
 9603.1  ,      17
 9627.5  ,      12
 9651.9  ,      12
 9676.3  ,      16
 9700.7  ,       6
 9725.1  ,       8
 9749.4  ,      10
 9773.8  ,      14
 9798.2  ,      19
 9822.6  ,      16
 9847.0  ,      24
 9871.4  ,      22
 9895.7  ,      24
 9920.1  ,      18
 9944.5  ,      12
 9968.9  ,      19
 9993.3  ,      11
10017.7  ,      16
10042.0  ,       9
10066.4  ,      11
10090.8  ,      10
10115.2  ,      11
10139.6  ,       9
10164.0  ,       5
10188.3  ,       6
10212.7  ,       3
10237.1  ,       2
10261.5  ,       7
10285.9  ,       6
10310.3  ,       4
10334.6  ,      15
10359.0  ,       6
10383.4  ,      10
10407.8  ,       8
10432.2  ,      11
10456.6  ,       4
10480.9  ,      11
10505.3  ,       5
10529.7  ,       9
10554.1  ,      10
10578.5  ,       9
10602.9  ,       7
10627.2  ,      11
10651.6  ,       9
10676.0  ,       3
10700.4  ,       7
10724.8  ,       8
10749.2  ,       6
10773.6  ,       9
10797.9  ,       7
10822.3  ,       3
10846.7  ,       8
10871.1  ,       5
10895.5  ,      10
10919.9  ,      13
10944.2  ,      12
10968.6  ,      11
10993.0  ,      10
11017.4  ,       5
11041.8  ,      14
11066.2  ,      10
11090.5  ,      12
11114.9  ,       7
11139.3  ,       5
11163.7  ,      15
11188.1  ,      11
11212.5  ,      10
11236.8  ,       9
11261.2  ,      16
11285.6  ,       6
11310.0  ,      15
11334.4  ,      11
11358.8  ,      13
11383.1  ,       8
11407.5  ,      11
11431.9  ,      11
11456.3  ,      13
11480.7  ,       3
11505.1  ,      16
11529.4  ,       7
11553.8  ,      21
11578.2  ,      11
11602.6  ,      16
11627.0  ,      10
11651.4  ,       9
11675.8  ,      20
11700.1  ,      14
11724.5  ,      14
11748.9  ,      14
11773.3  ,      17
11797.7  ,      20
11822.1  ,      24
11846.4  ,      21
11870.8  ,      27
11895.2  ,      24
11919.6  ,      24
11944.0  ,      26
11968.4  ,      28
11992.7  ,      30
12017.1  ,      25
12041.5  ,      23
12065.9  ,      19
12090.3  ,      26
12114.7  ,      22
12139.0  ,      21
12163.4  ,      31
12187.8  ,      21
12212.2  ,      13
12236.6  ,      14
12261.0  ,      16
12285.3  ,       4
12309.7  ,      12
12334.1  ,      14
12358.5  ,      12
12382.9  ,      11
12407.3  ,      13
12431.6  ,      19
12456.0  ,      17
12480.4  ,      12
12504.8  ,      12
12529.2  ,      13
12553.6  ,      14
12578.0  ,      16
12602.3  ,      15
12626.7  ,      26
12651.1  ,      20
12675.5  ,      15
12699.9  ,      13
12724.3  ,      19
12748.6  ,      17
12773.0  ,      17
12797.4  ,      16
12821.8  ,      16
12846.2  ,      22
12870.6  ,      24
12894.9  ,      15
12919.3  ,      15
12943.7  ,      24
12968.1  ,      23
12992.5  ,      27
13016.9  ,      30
13041.2  ,      29
13065.6  ,      27
13090.0  ,      34
13114.4  ,      40
13138.8  ,      55
13163.2  ,      52
13187.5  ,      45
13211.9  ,      53
13236.3  ,      65
13260.7  ,      69
13285.1  ,      93
13309.5  ,      91
13333.8  ,      98
13358.2  ,     108
13382.6  ,     100
13407.0  ,     157
13431.4  ,     123
13455.8  ,     113
13480.2  ,     111
13504.5  ,     140
13528.9  ,     122
13553.3  ,     130
13577.7  ,     119
13602.1  ,     114
13626.5  ,     105
13650.8  ,      97
13675.2  ,      90
13699.6  ,      85
13724.0  ,      74
13748.4  ,      81
13772.8  ,      64
13797.1  ,      60
13821.5  ,      58
13845.9  ,      60
13870.3  ,      44
13894.7  ,      46
13919.1  ,      48
13943.4  ,      41
13967.8  ,      40
13992.2  ,      47
14016.6  ,      49
14041.0  ,      62
14065.4  ,      75
14089.7  ,      85
14114.1  ,      87
14138.5  ,     121
14162.9  ,     129
14187.3  ,     141
14211.7  ,     163
14236.0  ,     189
14260.4  ,     170
14284.8  ,     179
14309.2  ,     184
14333.6  ,     145
14358.0  ,     113
14382.4  ,     112
14406.7  ,      62
14431.1  ,      57
14455.5  ,      38
14479.9  ,      22
14504.3  ,      11
14528.7  ,       9
14553.0  ,      18
14577.4  ,      14
14601.8  ,      12
14626.2  ,       7
14650.6  ,      21
14675.0  ,       8
14699.3  ,      11
14723.7  ,      13
14748.1  ,      11
14772.5  ,      14
14796.9  ,      12
14821.3  ,      13
14845.6  ,       9
14870.0  ,      11
14894.4  ,      24
14918.8  ,      25
14943.2  ,      15
14967.6  ,      21
14991.9  ,      10
15016.3  ,      16
15040.7  ,      12
15065.1  ,      22
15089.5  ,      20
15113.9  ,      13
15138.2  ,      16
15162.6  ,      14
15187.0  ,      18
15211.4  ,      24
15235.8  ,       8
15260.2  ,      18
15284.6  ,      21
15308.9  ,      15
15333.3  ,      18
