"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.60    ,  0.20  
MgO     ,  6.26    ,  0.25  
Al2O3   ,  9.67    ,  0.29  
SiO2    , 51.09    ,  0.75  
P2O5    ,  0.96    ,  0.07  
SO3     ,  4.85    ,  0.17  
Cl      ,  1.25    ,  0.06  
K2O     ,  0.86    ,  0.04  
CaO     ,  2.63    ,  0.07  
TiO2    ,  0.79    ,  0.05  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.08    ,  0.03  
FeO     , 18.44    ,  0.20  
Ni      ,  0.1117  ,  0.0070
Zn      ,  0.0565  ,  0.0035
Br      ,  0.0076  ,  0.0015
