"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.61    ,  0.20  
MgO     ,  5.75    ,  0.25  
Al2O3   ,  9.42    ,  0.29  
SiO2    , 49.86    ,  0.75  
P2O5    ,  0.88    ,  0.07  
SO3     ,  6.63    ,  0.20  
Cl      ,  1.25    ,  0.06  
K2O     ,  0.84    ,  0.04  
CaO     ,  3.94    ,  0.08  
TiO2    ,  1.00    ,  0.09  
Cr2O3   ,  0.34    ,  0.05  
MnO     ,  0.10    ,  0.03  
FeO     , 16.93    ,  0.20  
Ni      ,  0.0910  ,  0.0060
Zn      ,  0.0984  ,  0.0045
Br      ,  0.0054  ,  0.0015
