"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.52    ,  0.14  
MgO     ,  5.98    ,  0.17  
Al2O3   ,  8.63    ,  0.19  
SiO2    , 44.50    ,  0.54  
P2O5    ,  0.98    ,  0.07  
SO3     ,  7.55    ,  0.10  
Cl      ,  1.17    ,  0.03  
K2O     ,  0.74    ,  0.02  
CaO     ,  5.61    ,  0.07  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.28    ,  0.01  
FeO     , 20.10    ,  0.26  
Ni      ,  0.0955  ,  0.0050
Zn      ,  0.1597  ,  0.0050
Br      ,  0.0910  ,  0.0030
