"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  5.12    ,  0.17  
Al2O3   ,  8.44    ,  0.19  
SiO2    , 44.82    ,  0.54  
P2O5    ,  1.20    ,  0.07  
SO3     ,  8.40    ,  0.15  
Cl      ,  1.08    ,  0.03  
K2O     ,  0.82    ,  0.04  
CaO     ,  5.45    ,  0.07  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.20    ,  0.03  
FeO     , 20.26    ,  0.26  
Ni      ,  0.0986  ,  0.0050
Zn      ,  0.1062  ,  0.0035
Br      ,  0.0169  ,  0.0010
