"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     ,  4.43    ,  0.17  
Al2O3   ,  9.02    ,  0.19  
SiO2    , 47.90    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  4.82    ,  0.10  
Cl      ,  0.43    ,  0.02  
K2O     ,  1.05    ,  0.04  
CaO     ,  4.92    ,  0.06  
TiO2    ,  1.15    ,  0.07  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.37    ,  0.01  
FeO     , 21.92    ,  0.26  
Ni      ,  0.0942  ,  0.0050
Zn      ,  0.1233  ,  0.0040
Br      ,  0.0037  ,  0.0005
