"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.50    ,  0.14  
MgO     ,  5.23    ,  0.17  
Al2O3   ,  9.70    ,  0.29  
SiO2    , 49.79    ,  0.54  
P2O5    ,  0.72    ,  0.05  
SO3     ,  9.35    ,  0.10  
Cl      ,  1.04    ,  0.02  
K2O     ,  1.05    ,  0.04  
CaO     ,  5.11    ,  0.06  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 13.70    ,  0.20  
Ni      ,  0.1074  ,  0.0055
Zn      ,  0.1596  ,  0.0050
Br      ,  0.0079  ,  0.0005
