"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.20  
MgO     ,  6.10    ,  0.25  
Al2O3   ,  7.94    ,  0.29  
SiO2    , 43.21    ,  0.64  
P2O5    ,  1.07    ,  0.07  
SO3     , 11.29    ,  0.28  
Cl      ,  0.86    ,  0.05  
K2O     ,  0.66    ,  0.04  
CaO     ,  6.03    ,  0.10  
TiO2    ,  0.94    ,  0.07  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.28    ,  0.03  
FeO     , 18.49    ,  0.20  
Ni      ,  0.0981  ,  0.0065
Zn      ,  0.0928  ,  0.0045
Br      ,  0.0075  ,  0.0015
