"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.64    ,  0.20  
MgO     ,  6.57    ,  0.25  
Al2O3   ,  8.55    ,  0.29  
SiO2    , 45.26    ,  0.75  
P2O5    ,  0.95    ,  0.07  
SO3     ,  6.46    ,  0.20  
Cl      ,  1.80    ,  0.07  
K2O     ,  0.73    ,  0.04  
CaO     ,  4.36    ,  0.10  
TiO2    ,  1.14    ,  0.07  
Cr2O3   ,  0.26    ,  0.03  
MnO     ,  0.17    ,  0.03  
FeO     , 20.83    ,  0.26  
Ni      ,  0.0535  ,  0.0055
Zn      ,  0.0955  ,  0.0045
Br      ,  0.0868  ,  0.0030
