"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.68    ,  0.20  
MgO     ,  6.53    ,  0.25  
Al2O3   ,  9.21    ,  0.29  
SiO2    , 46.18    ,  0.54  
P2O5    ,  0.72    ,  0.07  
SO3     ,  6.77    ,  0.20  
Cl      ,  1.95    ,  0.07  
K2O     ,  0.75    ,  0.04  
CaO     ,  5.39    ,  0.10  
TiO2    ,  1.21    ,  0.07  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.24    ,  0.03  
FeO     , 17.57    ,  0.20  
Ni      ,  0.0682  ,  0.0055
Zn      ,  0.2196  ,  0.0070
Br      ,  0.0319  ,  0.0020
